profile_encoder,q_nm_inv,component_1,component_2,component_3,component_4,mean_profile,component_5,component_6,component_7
fpca256_4,2.041015630355105,-0.011336730109677586,0.015118140869756014,-0.0915361313688048,0.2600890154858263,1.7148153503220893,,,
fpca256_4,2.1230468910653144,-0.004195259492534076,0.02027554426572853,-0.08246715563771484,0.2379004229936434,1.7196997885298204,,,
fpca256_4,2.205078151775524,0.0030045122922224277,0.021875858140865012,-0.08370896599044392,0.22893651083521116,1.7329097992848972,,,
fpca256_4,2.2871094124857336,0.008791768416910872,0.023354100128773148,-0.08987397735153817,0.2113898806173518,1.743914539454719,,,
fpca256_4,2.3691406731959432,0.01200850617510225,0.027568926428841095,-0.09671476567068882,0.1907879859330534,1.75353748121328,,,
fpca256_4,2.451171933906153,0.017956096112780543,0.02565083368396109,-0.09062616770120002,0.17729433861173388,1.7495550176636243,,,
fpca256_4,2.5332031946163625,0.01673528463009038,0.029762596130218935,-0.09349789090921719,0.17690755048767098,1.7485164857114845,,,
fpca256_4,2.615234455326572,0.015961572360570286,0.028387374238042183,-0.09840816889037764,0.17133328194531203,1.7333378044045102,,,
fpca256_4,2.6972657160367817,0.016574267311914952,0.028808176956241365,-0.10410312404346668,0.15752710136398362,1.7273610439618152,,,
fpca256_4,2.7792969767469913,0.017986420715006245,0.03029832798816994,-0.09728004374452974,0.16119964917517565,1.7149643526504186,,,
fpca256_4,2.861328237457201,0.017756645484158357,0.029136005641724694,-0.09672109854353017,0.1478228298870635,1.6955322370758679,,,
fpca256_4,2.9433594981674105,0.016360385491453723,0.03110378334129736,-0.0913152455144486,0.14064307550447935,1.6756352255317564,,,
fpca256_4,3.02539075887762,0.01593355478519348,0.02635745541219176,-0.0903818300031092,0.13390015342634554,1.645815806154641,,,
fpca256_4,3.1074220195878297,0.015484998181539806,0.027699514180831747,-0.09271240307259662,0.12665095414186286,1.6116670112696094,,,
fpca256_4,3.1894532802980393,0.013320707537096665,0.0291289464418148,-0.09171377864271107,0.13062107395389252,1.5889068369742643,,,
fpca256_4,3.271484541008249,0.011528970110994316,0.03072103849256069,-0.09504519824686379,0.11801514402675797,1.5548902469068369,,,
fpca256_4,3.3535158017184585,0.010091102975962598,0.027994787820497802,-0.08564380398857441,0.12295435013196392,1.5205989513645406,,,
fpca256_4,3.435547062428668,0.007791064615625866,0.026554706094320854,-0.07576849376592847,0.11595647350138645,1.492406035279643,,,
fpca256_4,3.5175783231388777,0.0061088892175594125,0.026148371553219373,-0.08227138971567388,0.11317693172982943,1.4694835720808037,,,
fpca256_4,3.5996095838490874,0.0029815558352887486,0.02597269533382899,-0.07609581440039809,0.10589142176923183,1.4402138693948607,,,
fpca256_4,3.681640844559297,0.00224014952715627,0.025803412008649957,-0.07531144299648714,0.1095749876502154,1.4120799781964197,,,
fpca256_4,3.7636721052695066,0.0004022747710684501,0.02613384483334292,-0.07200655502237499,0.10392964930523896,1.393504621693574,,,
fpca256_4,3.845703365979716,-0.0012358490860472624,0.02503069902210807,-0.06900758739775613,0.10744249921574614,1.3655512631310802,,,
fpca256_4,3.927734626689926,-0.003801543765951019,0.02582295716348815,-0.06299566879961072,0.10336728897092715,1.3445000697529554,,,
fpca256_4,4.009765887400135,-0.003564208204845038,0.026870483451945214,-0.06976163397820054,0.1046820436058043,1.3172171848405525,,,
fpca256_4,4.091797148110345,-0.004265777764588908,0.027867754202772353,-0.0678333171375101,0.1004364925817606,1.3000544154099043,,,
fpca256_4,4.173828408820555,-0.0067736908375650535,0.026129775814560684,-0.06488329115535563,0.09356588731900387,1.2810221648205222,,,
