profile_encoder,splits,repeat_averaged_cross_fitted_target_cases,roc_auc_fold_mean,roc_auc_fold_std,roc_auc_repeat_averaged_cross_fitted,roc_auc_train_all,sensitivity_fold_mean,sensitivity_fold_std,sensitivity_repeat_averaged_cross_fitted,sensitivity_train_all,specificity_fold_mean,specificity_fold_std,specificity_repeat_averaged_cross_fitted,specificity_train_all,balanced_accuracy_fold_mean,balanced_accuracy_fold_std,balanced_accuracy_repeat_averaged_cross_fitted,balanced_accuracy_train_all,ppv_fold_mean,ppv_fold_std,ppv_repeat_averaged_cross_fitted,ppv_train_all,npv_fold_mean,npv_fold_std,npv_repeat_averaged_cross_fitted,npv_train_all,brier_score_fold_mean,brier_score_fold_std,brier_score_repeat_averaged_cross_fitted,brier_score_train_all,log_loss_fold_mean,log_loss_fold_std,log_loss_repeat_averaged_cross_fitted,log_loss_train_all,threshold_train_all
raw100,100,164,0.679141199186909,0.07629519738199797,0.6887537993920972,0.875531914893617,0.8261904761904763,0.11112571703385145,0.8571428571428571,0.9571428571428572,0.39966483499300837,0.12093855470770482,0.3617021276595745,0.5638297872340425,0.6129276555917422,0.06511261028421131,0.6094224924012158,0.7604863221884499,0.5091217077973075,0.053356347931024777,0.5,0.6203703703703703,0.7655986105397871,0.12293780275352485,0.7727272727272727,0.9464285714285714,0.24072476204075147,0.03680798915156785,0.2317337439221118,0.14407567919614092,0.7042560292980192,0.10301734687358316,0.6749750448545772,0.44472730249742515,0.3085578913448472
raw256,100,164,0.636460126866761,0.07909139362299909,0.6522796352583586,0.9800911854103344,0.5846190476190476,0.13432814029799345,0.5714285714285714,0.9571428571428572,0.613944730364235,0.11707479832407199,0.6276595744680851,0.9148936170212766,0.5992818889916414,0.07113656140404113,0.5995440729483282,0.9360182370820669,0.5355393954171044,0.08188043755421183,0.5333333333333333,0.8933333333333333,0.6691469119452362,0.08078397028893494,0.6629213483146067,0.9662921348314607,0.27637072942013935,0.04214599499026062,0.2572270829533954,0.06361805732342489,0.8408740518428626,0.1349759167574508,0.7540135542144313,0.22848387198877063,0.4507895013053682
fpca256_4,100,164,0.6796934529285481,0.07822231020454551,0.6843465045592705,0.7332826747720365,0.913886446886447,0.07666933316859043,0.9142857142857143,0.9571428571428572,0.21645934131228248,0.11927449557874671,0.20212765957446807,0.1702127659574468,0.5651728940993646,0.0537979114377776,0.5582066869300911,0.563677811550152,0.46730147083945184,0.03900115285834175,0.460431654676259,0.46206896551724136,0.7627632005183025,0.22305466624251707,0.76,0.8421052631578947,0.22939750667853567,0.024945596308315134,0.2277100217413591,0.21036818459218534,0.6540533849598396,0.05667945626796203,0.6494587114036787,0.6082701160438161,0.26229476683221625
fpca256_5,100,164,0.6755753246949621,0.07849999343933788,0.6799392097264438,0.7328267477203647,0.9095384615384617,0.07795043648412382,0.9142857142857143,0.9571428571428572,0.2168327748962424,0.11391433870551913,0.2127659574468085,0.1702127659574468,0.5631856182173519,0.05201290505043906,0.5635258358662614,0.563677811550152,0.4659300737893411,0.03795600876462515,0.463768115942029,0.46206896551724136,0.7593795093795094,0.22016633611646377,0.7692307692307693,0.8421052631578947,0.2309217207933672,0.025072332306964647,0.22910455679243097,0.21042899642309312,0.6576916050759389,0.05709543328794047,0.6527969937363417,0.6083928314621823,0.26063766970225155
fpca256_6,100,164,0.6743558361503519,0.0804639190176037,0.6805471124620062,0.7419452887537993,0.9040000000000002,0.07876254936385542,0.9142857142857143,0.9571428571428572,0.24215604519319686,0.11585751255676639,0.22340425531914893,0.2765957446808511,0.5730780225965983,0.05649759529857747,0.5688449848024316,0.6168693009118541,0.4728391691327184,0.04127972708819926,0.46715328467153283,0.4962962962962963,0.773862470862471,0.1949244759036029,0.7777777777777778,0.896551724137931,0.23118419129029405,0.026020636245184633,0.22918368696986238,0.20845050035369547,0.6584339419217078,0.05955568066208919,0.6530804102855677,0.6044694639222706,0.31438334038337973
fpca256_7,100,164,0.6707197130052285,0.08130178005717385,0.6788753799392098,0.7434650455927051,0.890978021978022,0.08302081310033059,0.8857142857142857,0.9571428571428572,0.25849669851991836,0.10964762603672558,0.24468085106382978,0.2872340425531915,0.57473736024897,0.05513465481808124,0.5651975683890578,0.6221884498480243,0.4741910651368779,0.04021611323413785,0.46616541353383456,0.5,0.7654441669441668,0.1663058137673603,0.7419354838709677,0.9,0.23176325780918636,0.026690084213806343,0.22955618063273628,0.2067414123624407,0.6597738938866862,0.061285037481507515,0.6539003924242861,0.5999234873581513,0.3075920180861624
