cohort,profile_encoder,reference_encoder,split_id,repeat_id,fold_id,metric,delta
common,fpca256_4,raw100,27,5,2,sensitivity,0.20000000000000007
common,fpca256_4,raw100,27,5,2,specificity,-0.3181818181818182
common,fpca256_4,raw100,28,5,3,roc_auc,-0.04621848739495804
common,fpca256_4,raw100,28,5,3,sensitivity,-0.07142857142857151
common,fpca256_4,raw100,28,5,3,specificity,-0.23529411764705882
common,fpca256_4,raw100,29,5,4,roc_auc,-0.08547008547008561
common,fpca256_4,raw100,29,5,4,sensitivity,0.0
common,fpca256_4,raw100,29,5,4,specificity,0.0
common,fpca256_4,raw100,30,6,0,roc_auc,-0.011278195488721776
common,fpca256_4,raw100,30,6,0,sensitivity,0.0
common,fpca256_4,raw100,30,6,0,specificity,0.0
common,fpca256_4,raw100,31,6,1,roc_auc,0.056140350877192935
common,fpca256_4,raw100,31,6,1,sensitivity,0.13333333333333341
common,fpca256_4,raw100,31,6,1,specificity,-0.21052631578947367
common,fpca256_4,raw100,32,6,2,roc_auc,-0.05639097744360899
common,fpca256_4,raw100,32,6,2,sensitivity,0.0714285714285714
common,fpca256_4,raw100,32,6,2,specificity,-0.15789473684210525
common,fpca256_4,raw100,33,6,3,roc_auc,0.10317460317460325
common,fpca256_4,raw100,33,6,3,sensitivity,0.2142857142857142
common,fpca256_4,raw100,33,6,3,specificity,-0.16666666666666669
common,fpca256_4,raw100,34,6,4,roc_auc,-0.05263157894736836
common,fpca256_4,raw100,34,6,4,sensitivity,0.23076923076923084
common,fpca256_4,raw100,34,6,4,specificity,-0.47368421052631576
common,fpca256_4,raw100,35,7,0,roc_auc,-0.0071428571428571175
common,fpca256_4,raw100,35,7,0,sensitivity,0.07142857142857151
common,fpca256_4,raw100,35,7,0,specificity,-0.15000000000000002
common,fpca256_4,raw100,36,7,1,roc_auc,0.03174603174603163
common,fpca256_4,raw100,36,7,1,sensitivity,0.0
common,fpca256_4,raw100,36,7,1,specificity,-0.2222222222222222
common,fpca256_4,raw100,37,7,2,roc_auc,-0.01587301587301604
common,fpca256_4,raw100,37,7,2,sensitivity,0.0714285714285714
common,fpca256_4,raw100,37,7,2,specificity,-0.1111111111111111
common,fpca256_4,raw100,38,7,3,roc_auc,-0.0992063492063493
common,fpca256_4,raw100,38,7,3,sensitivity,0.0714285714285714
common,fpca256_4,raw100,38,7,3,specificity,-0.3888888888888889
common,fpca256_4,raw100,39,7,4,roc_auc,0.10357142857142854
common,fpca256_4,raw100,39,7,4,sensitivity,-0.07142857142857151
common,fpca256_4,raw100,39,7,4,specificity,-0.04999999999999999
common,fpca256_4,raw100,40,8,0,roc_auc,-0.11564625850340138
common,fpca256_4,raw100,40,8,0,sensitivity,0.07142857142857151
common,fpca256_4,raw100,40,8,0,specificity,-0.14285714285714285
common,fpca256_4,raw100,41,8,1,roc_auc,0.11111111111111105
common,fpca256_4,raw100,41,8,1,sensitivity,0.2142857142857142
common,fpca256_4,raw100,41,8,1,specificity,-0.16666666666666669
common,fpca256_4,raw100,42,8,2,roc_auc,0.01851851851851849
common,fpca256_4,raw100,42,8,2,sensitivity,0.1333333333333333
common,fpca256_4,raw100,42,8,2,specificity,-0.2777777777777778
common,fpca256_4,raw100,43,8,3,roc_auc,0.015873015873015928
common,fpca256_4,raw100,43,8,3,sensitivity,0.1428571428571429
common,fpca256_4,raw100,43,8,3,specificity,-0.38888888888888895
common,fpca256_4,raw100,44,8,4,roc_auc,0.03238866396761131
common,fpca256_4,raw100,44,8,4,sensitivity,0.15384615384615385
common,fpca256_4,raw100,44,8,4,specificity,-0.15789473684210525
common,fpca256_4,raw100,45,9,0,roc_auc,0.09920634920634919
common,fpca256_4,raw100,45,9,0,sensitivity,0.0714285714285714
common,fpca256_4,raw100,45,9,0,specificity,-0.11111111111111113
common,fpca256_4,raw100,46,9,1,roc_auc,0.030000000000000027
common,fpca256_4,raw100,46,9,1,sensitivity,0.13333333333333341
common,fpca256_4,raw100,46,9,1,specificity,-0.2
common,fpca256_4,raw100,47,9,2,roc_auc,-0.011904761904761973
common,fpca256_4,raw100,47,9,2,sensitivity,0.0714285714285714
common,fpca256_4,raw100,47,9,2,specificity,-0.22222222222222227
common,fpca256_4,raw100,48,9,3,roc_auc,-0.10000000000000009
common,fpca256_4,raw100,48,9,3,sensitivity,0.0
common,fpca256_4,raw100,48,9,3,specificity,-0.20000000000000007
common,fpca256_4,raw100,49,9,4,roc_auc,-0.11965811965811957
common,fpca256_4,raw100,49,9,4,sensitivity,0.07692307692307687
common,fpca256_4,raw100,49,9,4,specificity,-0.3333333333333333
common,fpca256_4,raw100,50,10,0,roc_auc,-0.10317460317460314
common,fpca256_4,raw100,50,10,0,sensitivity,0.0714285714285714
common,fpca256_4,raw100,50,10,0,specificity,-0.3333333333333333
common,fpca256_4,raw100,51,10,1,roc_auc,-0.008403361344537785
common,fpca256_4,raw100,51,10,1,sensitivity,0.0
common,fpca256_4,raw100,51,10,1,specificity,-0.4117647058823529
common,fpca256_4,raw100,52,10,2,roc_auc,-0.016233766233766378
