profile_encoder,scope,split_id,component,explained_variance_ratio,cumulative_explained_variance_ratio
fpca256_4,outer_fold,0,1,0.6189882287905665,0.6189882287905665
fpca256_4,outer_fold,0,2,0.26503877989118413,0.8840270086817505
fpca256_4,outer_fold,0,3,0.03751375102809105,0.9215407597098416
fpca256_4,outer_fold,0,4,0.02042883124841802,0.9419695909582596
fpca256_4,outer_fold,1,1,0.5549969508467806,0.5549969508467806
fpca256_4,outer_fold,1,2,0.3261984162469466,0.8811953670937271
fpca256_4,outer_fold,1,3,0.04182326475824386,0.923018631851971
fpca256_4,outer_fold,1,4,0.01931394596519896,0.94233257781717
fpca256_4,outer_fold,2,1,0.5967283166876726,0.5967283166876726
fpca256_4,outer_fold,2,2,0.28334012537256714,0.8800684420602397
fpca256_4,outer_fold,2,3,0.041925290875684085,0.9219937329359238
fpca256_4,outer_fold,2,4,0.02046510231292943,0.9424588352488532
fpca256_4,outer_fold,3,1,0.5801101493889835,0.5801101493889835
fpca256_4,outer_fold,3,2,0.3044554629977939,0.8845656123867774
fpca256_4,outer_fold,3,3,0.039524733315581866,0.9240903457023593
fpca256_4,outer_fold,3,4,0.020089935988491993,0.9441802816908512
fpca256_4,outer_fold,4,1,0.5964605509596447,0.5964605509596447
fpca256_4,outer_fold,4,2,0.28623275108957713,0.8826933020492218
fpca256_4,outer_fold,4,3,0.03932317964404907,0.9220164816932709
fpca256_4,outer_fold,4,4,0.02011101321259814,0.942127494905869
fpca256_4,outer_fold,5,1,0.5879859630762065,0.5879859630762065
fpca256_4,outer_fold,5,2,0.2921079650890808,0.8800939281652873
fpca256_4,outer_fold,5,3,0.040312163619431726,0.920406091784719
fpca256_4,outer_fold,5,4,0.021331977623874253,0.9417380694085933
fpca256_4,outer_fold,6,1,0.5897521810305486,0.5897521810305486
fpca256_4,outer_fold,6,2,0.2902738042987831,0.8800259853293317
fpca256_4,outer_fold,6,3,0.04096815273125036,0.9209941380605821
fpca256_4,outer_fold,6,4,0.020289666346625174,0.9412838044072073
fpca256_4,outer_fold,7,1,0.5771827701367418,0.5771827701367418
fpca256_4,outer_fold,7,2,0.30528478570677914,0.8824675558435209
fpca256_4,outer_fold,7,3,0.040582800726216284,0.9230503565697372
fpca256_4,outer_fold,7,4,0.01877024449243422,0.9418206010621715
fpca256_4,outer_fold,8,1,0.6101373542986904,0.6101373542986904
fpca256_4,outer_fold,8,2,0.2757407557137347,0.8858781100124251
fpca256_4,outer_fold,8,3,0.03794258443850088,0.923820694450926
fpca256_4,outer_fold,8,4,0.020385708677643003,0.944206403128569
fpca256_4,outer_fold,9,1,0.5868432629808605,0.5868432629808605
fpca256_4,outer_fold,9,2,0.2975547456883167,0.8843980086691772
fpca256_4,outer_fold,9,3,0.039639969051815487,0.9240379777209926
fpca256_4,outer_fold,9,4,0.019985444289699866,0.9440234220106924
fpca256_4,outer_fold,10,1,0.5885680596684737,0.5885680596684737
fpca256_4,outer_fold,10,2,0.2960405286895166,0.8846085883579903
fpca256_4,outer_fold,10,3,0.03835424643317033,0.9229628347911606
fpca256_4,outer_fold,10,4,0.02064737413238207,0.9436102089235426
fpca256_4,outer_fold,11,1,0.5730607367003837,0.5730607367003837
fpca256_4,outer_fold,11,2,0.3112986924382728,0.8843594291386565
fpca256_4,outer_fold,11,3,0.04038469333563248,0.9247441224742889
fpca256_4,outer_fold,11,4,0.018990991740534268,0.9437351142148233
fpca256_4,outer_fold,12,1,0.5691819089645016,0.5691819089645016
fpca256_4,outer_fold,12,2,0.30800707230816726,0.8771889812726689
fpca256_4,outer_fold,12,3,0.04300297853213367,0.9201919598048025
fpca256_4,outer_fold,12,4,0.02035752646269673,0.9405494862674992
fpca256_4,outer_fold,13,1,0.613106845880898,0.613106845880898
fpca256_4,outer_fold,13,2,0.2783140340021813,0.8914208798830794
fpca256_4,outer_fold,13,3,0.03437045157087419,0.9257913314539535
fpca256_4,outer_fold,13,4,0.018782764213710324,0.9445740956676638
fpca256_4,outer_fold,14,1,0.6013671311855737,0.6013671311855737
fpca256_4,outer_fold,14,2,0.2731886261743665,0.8745557573599403
fpca256_4,outer_fold,14,3,0.04431292822214895,0.9188686855820892
fpca256_4,outer_fold,14,4,0.021815340910137614,0.9406840264922268
fpca256_4,outer_fold,15,1,0.6018756451869601,0.6018756451869601
fpca256_4,outer_fold,15,2,0.27501439515030796,0.8768900403372681
fpca256_4,outer_fold,15,3,0.04226029310754011,0.9191503334448082
fpca256_4,outer_fold,15,4,0.020367969851416784,0.939518303296225
fpca256_4,outer_fold,16,1,0.6048676581256482,0.6048676581256482
fpca256_4,outer_fold,16,2,0.2856051689894989,0.8904728271151472
fpca256_4,outer_fold,16,3,0.03504656037290304,0.9255193874880502
fpca256_4,outer_fold,16,4,0.018484659340071104,0.9440040468281213
fpca256_4,outer_fold,17,1,0.6026501998213379,0.6026501998213379
fpca256_4,outer_fold,17,2,0.28155645484808456,0.8842066546694225
fpca256_4,outer_fold,17,3,0.040629942816274314,0.9248365974856968
fpca256_4,outer_fold,17,4,0.020966535838045485,0.9458031333237423
fpca256_4,outer_fold,18,1,0.5729527334472139,0.5729527334472139
fpca256_4,outer_fold,18,2,0.30827709746729126,0.8812298309145051
fpca256_4,outer_fold,18,3,0.03986459156799913,0.9210944224825043
fpca256_4,outer_fold,18,4,0.02132583716927974,0.942420259651784
fpca256_4,outer_fold,19,1,0.5683775039247324,0.5683775039247324
fpca256_4,outer_fold,19,2,0.31119315213450144,0.8795706560592338
fpca256_4,outer_fold,19,3,0.042073338746733246,0.921643994805967
fpca256_4,outer_fold,19,4,0.01948313493910103,0.9411271297450681
fpca256_4,outer_fold,20,1,0.5606241294331936,0.5606241294331936
fpca256_4,outer_fold,20,2,0.31529449318495284,0.8759186226181465
fpca256_4,outer_fold,20,3,0.04228033391469283,0.9181989565328393
fpca256_4,outer_fold,20,4,0.022201407213980593,0.9404003637468199
fpca256_4,outer_fold,21,1,0.5955854684325144,0.5955854684325144
fpca256_4,outer_fold,21,2,0.2872758593410442,0.8828613277735586
fpca256_4,outer_fold,21,3,0.04050101344193607,0.9233623412154948
fpca256_4,outer_fold,21,4,0.02001009958234376,0.9433724407978386
fpca256_4,outer_fold,22,1,0.6002886543507157,0.6002886543507157
fpca256_4,outer_fold,22,2,0.2798754750382911,0.8801641293890068
