profile_encoder,q_nm_inv,component_1,component_2,component_3,component_4,mean_profile,component_5,component_6,component_7
fpca256_4,2.041015630355105,0.003915144328996604,0.01001306022959921,-0.1169739625327227,0.24886682004802704,1.7034896254361012,,,
fpca256_4,2.1230468910653144,-0.0016635576865129953,0.015247500383771151,-0.10778900199320163,0.22633737401277088,1.7085520479509568,,,
fpca256_4,2.205078151775524,-0.006476003724013135,0.01872230533281935,-0.10581589971777561,0.21732041910494038,1.7218863807521547,,,
fpca256_4,2.2871094124857336,-0.010674216590886465,0.021763565619753344,-0.10718154506626257,0.19805158056231087,1.7309970324091861,,,
fpca256_4,2.3691406731959432,-0.013063708280292314,0.02580333717927602,-0.11136941374741793,0.17497247511171765,1.740970729708029,,,
fpca256_4,2.451171933906153,-0.018858645368401587,0.026210105875847493,-0.10393542685946883,0.16489619022752608,1.7335526019105605,,,
fpca256_4,2.5332031946163625,-0.018292068642741865,0.030256168880148468,-0.11061412969352043,0.17028033279730642,1.7311276140464966,,,
fpca256_4,2.615234455326572,-0.017061895214202816,0.027826415664007297,-0.11173965519201211,0.15880760732237367,1.7181511481573462,,,
fpca256_4,2.6972657160367817,-0.017432127874471803,0.027339971282032343,-0.11633581930469328,0.14350802239538826,1.713518874698216,,,
fpca256_4,2.7792969767469913,-0.018818453059743213,0.028710107793756347,-0.11189910936072163,0.14805633920623731,1.7008897179100904,,,
fpca256_4,2.861328237457201,-0.018346273301084768,0.029043425487120356,-0.10531567588442532,0.13404282388983482,1.6809633504664463,,,
fpca256_4,2.9433594981674105,-0.016467631602945107,0.02966823453825376,-0.1031085219865037,0.13106532924964948,1.6641100221237908,,,
fpca256_4,3.02539075887762,-0.017080235784968388,0.024860136676080998,-0.10246971714985338,0.1235042544717915,1.6332352986326364,,,
fpca256_4,3.1074220195878297,-0.015968020207282135,0.025493461869074904,-0.10757257470149055,0.11819832329175847,1.6002392089461643,,,
fpca256_4,3.1894532802980393,-0.015857348911025068,0.025747083299282277,-0.10804728482508086,0.12445866556870941,1.5748360007058426,,,
fpca256_4,3.271484541008249,-0.012067323465205133,0.02927611547392545,-0.10329258672104574,0.10422708138653111,1.5434675548842067,,,
fpca256_4,3.3535158017184585,-0.011546472130956,0.026493211900481727,-0.09859859524660312,0.11474422783143166,1.5089273438013886,,,
fpca256_4,3.435547062428668,-0.00926596743762265,0.023201920548429077,-0.08906235164947997,0.10898463115408423,1.4826510846899186,,,
fpca256_4,3.5175783231388777,-0.006699179537607298,0.023321565431580562,-0.09224233975742738,0.10253410062410724,1.461702766047942,,,
fpca256_4,3.5996095838490874,-0.0031012933953057068,0.02325732013354836,-0.08633157719024297,0.0961422055611738,1.4350054756537534,,,
fpca256_4,3.681640844559297,-0.0025618708200922428,0.022822789663473283,-0.08675009068999782,0.102928392674844,1.4063054894135463,,,
fpca256_4,3.7636721052695066,-0.0024804627543843407,0.02273466796805818,-0.08502087345900403,0.10039865429460666,1.3857895686200832,,,
fpca256_4,3.845703365979716,-0.0005039014508778583,0.020731151852798783,-0.0827829274532997,0.10068135115058417,1.3602621672909827,,,
fpca256_4,3.927734626689926,0.0019640108202661636,0.02110575044572127,-0.07672167844500731,0.09980918734216468,1.339312719389854,,,
fpca256_4,4.009765887400135,0.002723412253231909,0.02289492803979125,-0.08391128248247395,0.10118215559037731,1.3132777549674504,,,
fpca256_4,4.091797148110345,0.003297897583392778,0.02392426907811139,-0.08270048262511477,0.09866231353117821,1.2952725927244093,,,
fpca256_4,4.173828408820555,0.005867410842670342,0.02189676347520685,-0.07697690762084244,0.09003893997662034,1.2784843841543256,,,
fpca256_4,4.255859669530764,0.004961020790570977,0.020487945112106186,-0.06973412180677056,0.09147045205771259,1.2605646932863126,,,
fpca256_4,4.337890930240974,0.006130842158587319,0.019423557874711953,-0.06862563387199823,0.08935463367004216,1.2454313883119166,,,
fpca256_4,4.419922190951183,0.00500352535354517,0.018049717369540638,-0.0645940709244314,0.09142970258057032,1.2280817780638948,,,
fpca256_4,4.501953451661393,0.006417551933751216,0.01755481268144307,-0.06622309196140866,0.0884320816652921,1.2120661113992501,,,
fpca256_4,4.583984712371603,0.005949238721436112,0.017272365792543636,-0.0640747681910223,0.0817371585546166,1.199262131768176,,,
fpca256_4,4.666015973081812,0.005245287989768416,0.01528461895101572,-0.05777085645943003,0.07182152528564971,1.1815360078802275,,,
fpca256_4,4.748047233792022,0.005321415550968558,0.01564085395098969,-0.056512146811747564,0.07331862357308241,1.1607020152812402,,,
fpca256_4,4.8300784945022315,0.007408712325310318,0.013917788054884646,-0.0512603668544691,0.06573262767456861,1.1551766872689035,,,
fpca256_4,4.912109755212441,0.005605727295058807,0.012642890679403785,-0.05128578385629059,0.06466033523863124,1.137978660194565,,,
fpca256_4,4.994141015922651,0.004052414409860136,0.013394569581097054,-0.05309062417408932,0.06264638177461876,1.121290732169728,,,
fpca256_4,5.07617227663286,0.002708482824314744,0.012118780239168328,-0.047455639936484634,0.05303224991996119,1.1094856043121402,,,
fpca256_4,5.15820353734307,0.002280261238929663,0.009579323587174903,-0.03867254823110875,0.0466776728610961,1.1009074726103016,,,
fpca256_4,5.2402347980532795,0.0027903808807838606,0.01052141624586512,-0.03685397442576643,0.04173242262016857,1.0840870953041641,,,
fpca256_4,5.322266058763489,0.002460734646539645,0.010725555762750628,-0.03220610281302716,0.03728000161071749,1.075258447096229,,,
fpca256_4,5.404297319473699,0.00262183548237663,0.008468115163609251,-0.030221225806364774,0.04179167428457702,1.0659993820609004,,,
fpca256_4,5.486328580183908,0.0012967971199225974,0.00878984218185918,-0.032930456937089736,0.03938683898051852,1.055917669813105,,,
fpca256_4,5.568359840894118,0.001658011785429804,0.00684884609098166,-0.030586762010150856,0.040509135389035146,1.0510999102616112,,,
fpca256_4,5.650391101604328,0.0016938321937168758,0.008240521634753093,-0.024959753862113555,0.03513108957719662,1.0383577252083867,,,
fpca256_4,5.732422362314537,0.0015265748416622383,0.007754619352645475,-0.025019854334703353,0.039002730430224175,1.0341158442222493,,,
fpca256_4,5.814453623024747,0.002069107072809069,0.007188650280762522,-0.021589124355750233,0.028768827878167688,1.0282286483787892,,,
fpca256_4,5.896484883734956,0.0019699461434349755,0.005755296536889073,-0.016175922006962728,0.027623290507003948,1.021347365355398,,,
fpca256_4,5.978516144445166,0.003000047729626178,0.005204881774211261,-0.01474621979954958,0.025367597894808924,1.0204210600720098,,,
fpca256_4,6.060547405155376,0.0008459624059906966,0.004446255614516831,-0.01673793559959056,0.030280423333401536,1.0140472735568584,,,
fpca256_4,6.142578665865585,0.0005248700131805737,0.0036733849100146904,-0.015192612307737854,0.026806317524436588,1.009068317255935,,,
fpca256_4,6.224609926575795,0.000742930127139737,0.004737256478544767,-0.01163268867931117,0.030518291928565592,1.0069793288143702,,,
fpca256_4,6.306641187286004,0.0011435481565390498,0.005066555917636886,-0.010044526072446552,0.028207866146001785,1.005826845254547,,,
fpca256_4,6.388672447996214,0.0014953364800711585,0.004350484777691092,-0.008372056738298784,0.02417334497103068,1.0061231086332467,,,
