profile_encoder,scope,split_id,component,explained_variance_ratio,cumulative_explained_variance_ratio
fpca256_4,outer_fold,0,1,0.5962228543092989,0.5962228543092989
fpca256_4,outer_fold,0,2,0.2877403604939902,0.8839632148032891
fpca256_4,outer_fold,0,3,0.037655443193419534,0.9216186579967086
fpca256_4,outer_fold,0,4,0.02079599522465567,0.9424146532213643
fpca256_4,outer_fold,1,1,0.6363370813266912,0.6363370813266912
fpca256_4,outer_fold,1,2,0.26367876252951183,0.900015843856203
fpca256_4,outer_fold,1,3,0.03353732175910825,0.9335531656153113
fpca256_4,outer_fold,1,4,0.016190985494279747,0.9497441511095911
fpca256_4,outer_fold,2,1,0.645937751028479,0.645937751028479
fpca256_4,outer_fold,2,2,0.24857013587229465,0.8945078869007737
fpca256_4,outer_fold,2,3,0.034397648959243673,0.9289055358600173
fpca256_4,outer_fold,2,4,0.017342118475756032,0.9462476543357734
fpca256_4,outer_fold,3,1,0.593067669964185,0.593067669964185
fpca256_4,outer_fold,3,2,0.29416320060641077,0.8872308705705958
fpca256_4,outer_fold,3,3,0.03759950278427228,0.9248303733548681
fpca256_4,outer_fold,3,4,0.019226617737353922,0.944056991092222
fpca256_4,outer_fold,4,1,0.6599399922385685,0.6599399922385685
fpca256_4,outer_fold,4,2,0.23602504892985707,0.8959650411684256
fpca256_4,outer_fold,4,3,0.034053978213744326,0.9300190193821699
fpca256_4,outer_fold,4,4,0.01686521184470233,0.9468842312268723
fpca256_4,outer_fold,5,1,0.6431408591174037,0.6431408591174037
fpca256_4,outer_fold,5,2,0.2559383643070669,0.8990792234244707
fpca256_4,outer_fold,5,3,0.03543817233347453,0.9345173957579452
fpca256_4,outer_fold,5,4,0.015434091192097162,0.9499514869500424
fpca256_4,outer_fold,6,1,0.6488398007490208,0.6488398007490208
fpca256_4,outer_fold,6,2,0.24714810557279251,0.8959879063218134
fpca256_4,outer_fold,6,3,0.033987429814161994,0.9299753361359754
fpca256_4,outer_fold,6,4,0.017340251932976454,0.9473155880689519
fpca256_4,outer_fold,7,1,0.63013887645128,0.63013887645128
fpca256_4,outer_fold,7,2,0.26458215289350556,0.8947210293447856
fpca256_4,outer_fold,7,3,0.03296520089855044,0.9276862302433361
fpca256_4,outer_fold,7,4,0.018291036932917934,0.945977267176254
fpca256_4,outer_fold,8,1,0.626907064075867,0.626907064075867
fpca256_4,outer_fold,8,2,0.2657791551963602,0.8926862192722272
