profile_encoder,splits,repeat_averaged_cross_fitted_target_cases,roc_auc_fold_mean,roc_auc_fold_std,roc_auc_repeat_averaged_cross_fitted,roc_auc_train_all,sensitivity_fold_mean,sensitivity_fold_std,sensitivity_repeat_averaged_cross_fitted,sensitivity_train_all,specificity_fold_mean,specificity_fold_std,specificity_repeat_averaged_cross_fitted,specificity_train_all,balanced_accuracy_fold_mean,balanced_accuracy_fold_std,balanced_accuracy_repeat_averaged_cross_fitted,balanced_accuracy_train_all,ppv_fold_mean,ppv_fold_std,ppv_repeat_averaged_cross_fitted,ppv_train_all,npv_fold_mean,npv_fold_std,npv_repeat_averaged_cross_fitted,npv_train_all,brier_score_fold_mean,brier_score_fold_std,brier_score_repeat_averaged_cross_fitted,brier_score_train_all,log_loss_fold_mean,log_loss_fold_std,log_loss_repeat_averaged_cross_fitted,log_loss_train_all,threshold_train_all
raw256,100,171,0.6266913501707689,0.08552999484644874,0.6395932014488716,0.9779882975759264,0.5900357142857142,0.13368076373980847,0.5945945945945946,0.972972972972973,0.6027137165940505,0.12244751486317325,0.6288659793814433,0.8247422680412371,0.5963747154398823,0.0715617606769163,0.611730286988019,0.898857620507105,0.5365365414920402,0.07997149686893879,0.55,0.8089887640449438,0.6619567299244781,0.08485588048972423,0.6703296703296703,0.975609756097561,0.27890123117313587,0.043419375280995154,0.25858262049316516,0.06687594348375168,0.8460799348850877,0.13798570110007563,0.7614307004277391,0.23345285770440297,0.3691308619193054
fpca256_4,100,171,0.6664647413580229,0.07583678494871654,0.6632766787405961,0.7222067428252995,0.9016130952380952,0.07798990306233239,0.9054054054054054,0.9594594594594594,0.19883996688613728,0.09118376618595707,0.20618556701030927,0.20618556701030927,0.5502265310621162,0.06039728089257672,0.5557954862078573,0.5828225132348843,0.46321480624888095,0.04188231647608498,0.4652777777777778,0.4797297297297297,0.7228517316017316,0.2271579765873355,0.7407407407407407,0.8695652173913043,0.23307366653572706,0.024777083964028702,0.2312379742821416,0.21262414556946796,0.6608537373273132,0.05844639589899912,0.6557986000691437,0.6132535989577899,0.294318478862573
fpca256_5,100,171,0.6623105203445593,0.0756013482539459,0.6571468375592087,0.7223460573976038,0.8996130952380953,0.07979691207496041,0.9054054054054054,0.972972972972973,0.19427551965242096,0.09169712869647742,0.20618556701030927,0.1958762886597938,0.5469443074452581,0.06087656414323173,0.5557954862078573,0.5844246308163834,0.46119305995238163,0.04180929543160015,0.4652777777777778,0.48,0.7135977633477631,0.23331317191673767,0.7407407407407407,0.9047619047619048,0.2345843852362438,0.025008789717542248,0.23264132973009125,0.21247704836085776,0.6642161733517983,0.0591081782257061,0.6588965644204368,0.6129105024259961,0.2869931401761642
fpca256_6,100,171,0.6520604915753949,0.07512657052132654,0.6517135692393424,0.7300083588743382,0.8976904761904763,0.08313736491945134,0.8783783783783784,0.9594594594594594,0.21131296086841916,0.10064062070752028,0.20618556701030927,0.20618556701030927,0.5545017185294477,0.05981712411650627,0.5422819726943439,0.5828225132348843,0.46634404573544935,0.04228672254600543,0.45774647887323944,0.4797297297297297,0.7278144078144078,0.22382949008745734,0.6896551724137931,0.8695652173913043,0.2368738298682828,0.02619679487521097,0.23448908463898496,0.2112437528864304,0.6698972730023084,0.06347758770925195,0.6631740757210962,0.61038928195198,0.28409570624697134
fpca256_7,100,171,0.6693086658597287,0.07864014440913247,0.6677347450543327,0.7580105879074951,0.8765238095238095,0.0870612887289419,0.8648648648648649,0.9594594594594594,0.2743219628743252,0.11279335904487528,0.24742268041237114,0.30927835051546393,0.5754228861990675,0.06609849452945869,0.556143772638618,0.6343689049874617,0.48192767984385854,0.048028892239869454,0.46715328467153283,0.5144927536231884,0.744862332112332,0.18124437042665187,0.7058823529411765,0.9090909090909091,0.23283689837463586,0.029234095677002025,0.23003787306299453,0.20114356915859255,0.6606535860731652,0.07090279967229575,0.6528572685724422,0.5866826391354173,0.31017786378656054
