label,role,q_nm_inv,median_profile_sd,mean_profile_sd,cases
BENIGN,contralateral,2.105000013709068,0.08208829677260918,0.1023910828407571,62
BENIGN,contralateral,2.3150000411272047,0.09236232174657658,0.10608499175758417,62
BENIGN,contralateral,2.5250000685453413,0.09801037371024546,0.11037423335406285,62
BENIGN,contralateral,2.7350000959634775,0.1072567563563421,0.10702025513678978,62
BENIGN,contralateral,2.9450001233816145,0.07832432727262395,0.09182464228639689,62
BENIGN,contralateral,3.1550001507997507,0.08560161932043515,0.09086985846631873,62
BENIGN,contralateral,3.3650001782178873,0.07580365930462282,0.08158356964123746,62
BENIGN,contralateral,3.575000205636024,0.07193952903658526,0.07437980192831457,62
BENIGN,contralateral,3.7850002330541606,0.059904739387593685,0.07154716278525795,62
BENIGN,contralateral,3.995000260472297,0.05601052776324769,0.06085011150255718,62
BENIGN,contralateral,4.205000287890433,0.060504323076121615,0.06763800700331637,62
BENIGN,contralateral,4.41500031530857,0.05105334512643484,0.060343862721142276,62
BENIGN,contralateral,4.625000342726707,0.04849425552666003,0.05967299262804939,62
BENIGN,contralateral,4.835000370144844,0.048201804554563854,0.05048630977359201,62
BENIGN,contralateral,5.04500039756298,0.03902469872418842,0.04754196416750131,62
BENIGN,contralateral,5.255000424981116,0.040953430663461424,0.04156987413628093,62
BENIGN,contralateral,5.465000452399253,0.037677417571739896,0.042700118841859244,62
BENIGN,contralateral,5.67500047981739,0.03395984405536331,0.035726251410054026,62
BENIGN,contralateral,5.885000507235526,0.030671413568693733,0.0353368174692332,62
BENIGN,contralateral,6.095000534653662,0.0315142721007265,0.03666007099455325,62
BENIGN,contralateral,6.3050005620717995,0.03109848591553207,0.03608962086851666,62
BENIGN,contralateral,6.515000589489936,0.029723609730325597,0.03475754494279212,62
BENIGN,contralateral,6.725000616908073,0.01912503305281091,0.021189115209229576,62
BENIGN,contralateral,6.935000644326209,0.019125033052810922,0.02118911520922958,62
BENIGN,contralateral,7.145000671744345,0.030903105625386063,0.030011927843413867,62
BENIGN,contralateral,7.355000699162482,0.03200197570518564,0.03422447014640895,62
BENIGN,contralateral,7.565000726580618,0.028169184318513788,0.03245561520409552,62
BENIGN,contralateral,7.775000753998755,0.03171223232101944,0.03376537321255411,62
BENIGN,contralateral,7.9850007814168915,0.03598333765036485,0.03507743013560232,62
BENIGN,contralateral,8.19500080883503,0.036856810054329954,0.041645407258330054,62
BENIGN,contralateral,8.405000836253166,0.03483970345533646,0.03760830042168654,62
BENIGN,contralateral,8.615000863671302,0.04141590248945143,0.046088972973978966,62
BENIGN,contralateral,8.825000891089438,0.03756080154142332,0.0431756611115934,62
BENIGN,contralateral,9.035000918507574,0.03967071503365416,0.047495426380487066,62
BENIGN,contralateral,9.24500094592571,0.04102663359349259,0.04394095327653242,62
BENIGN,contralateral,9.455000973343846,0.043143323497569115,0.049922775302702165,62
BENIGN,contralateral,9.665001000761984,0.04727811112482859,0.05313267437102559,62
BENIGN,contralateral,9.87500102818012,0.057981521727519955,0.05696236112534316,62
BENIGN,contralateral,10.085001055598259,0.06125866524535835,0.06618285354681762,62
BENIGN,contralateral,10.295001083016395,0.049168370413065016,0.06381287804737959,62
BENIGN,contralateral,10.50500111043453,0.06437510556715145,0.07335434932751769,62
BENIGN,contralateral,10.715001137852667,0.06098443445315662,0.07487758812647208,62
BENIGN,contralateral,10.925001165270803,0.07221958388482266,0.0812186746951887,62
BENIGN,contralateral,11.13500119268894,0.08728856020922338,0.0965597243507964,62
BENIGN,contralateral,11.345001220107077,0.0931512239504104,0.1043877852242535,62
BENIGN,contralateral,11.555001247525214,0.10225281524055109,0.1130107287005204,62
BENIGN,contralateral,11.76500127494335,0.11095753037370093,0.12516444095952042,62
BENIGN,contralateral,11.975001302361486,0.11304490292222433,0.1440938732382986,62
BENIGN,contralateral,12.185001329779622,0.1495321589183026,0.15795326846039667,62
BENIGN,contralateral,12.39500135719776,0.13415142790373702,0.160729546722062,62
BENIGN,contralateral,12.605001384615896,0.14853414395641892,0.17412450310127334,62
BENIGN,contralateral,12.815001412034032,0.1496502323406948,0.18972546342878308,62
BENIGN,contralateral,13.025001439452168,0.1654126601563411,0.1998933363580631,62
BENIGN,contralateral,13.235001466870306,0.15763213702082005,0.21047512977807464,62
BENIGN,contralateral,13.445001494288443,0.18755389310312198,0.23646710484348474,62
BENIGN,contralateral,13.655001521706579,0.18546651376879653,0.23348590122903426,62
BENIGN,contralateral,13.865001549124715,0.20945388503195642,0.23469320071920283,62
BENIGN,contralateral,14.075001576542851,0.1821868499301758,0.22987506782288739,62
BENIGN,contralateral,14.285001603960989,0.18323817927727076,0.21129578063524948,62
BENIGN,contralateral,14.495001631379125,0.19549413873533303,0.2142941811804567,62
BENIGN,contralateral,14.705001658797261,0.1630981012031553,0.19109399295732762,62
BENIGN,contralateral,14.915001686215398,0.14523920930757855,0.18244896049788012,62
BENIGN,contralateral,15.125001713633536,0.15707929819337865,0.16201333408064394,62
BENIGN,contralateral,15.335001741051672,0.12093308893618128,0.1384514741634705,62
BENIGN,contralateral,15.545001768469808,0.11879240012683819,0.13301637752499257,62
BENIGN,contralateral,15.755001795887944,0.10034651371383718,0.11472582824429345,62
BENIGN,contralateral,15.96500182330608,0.10908080150519651,0.11021920682773548,62
BENIGN,contralateral,16.175001850724218,0.09938692983177125,0.1044720304503313,62
BENIGN,contralateral,16.385001878142354,0.07673651458798511,0.09445147088247194,62
BENIGN,contralateral,16.59500190556049,0.08518371379549813,0.09770746397402669,62
BENIGN,contralateral,16.805001932978627,0.09314429025982772,0.09890799698338355,62
BENIGN,contralateral,17.015001960396766,0.08050687586072203,0.09940892561062246,62
BENIGN,contralateral,17.2250019878149,0.08694817030346196,0.10658836755699845,62
BENIGN,contralateral,17.43500201523304,0.08702052752171065,0.11138799223506116,62
BENIGN,contralateral,17.64500204265117,0.09766098924440945,0.10862932848715809,62
BENIGN,contralateral,17.85500207006931,0.08764131389685006,0.11795508896289114,62
BENIGN,contralateral,18.065002097487447,0.08189704963145583,0.11544273763003049,62
BENIGN,contralateral,18.275002124905583,0.10346562431352305,0.12481305690363356,62
BENIGN,contralateral,18.485002152323723,0.091556862734945,0.12915604836666972,62
BENIGN,contralateral,18.695002179741856,0.10516046942315294,0.13996338981821005,62
BENIGN,contralateral,18.905002207159995,0.09699980098289979,0.14088091360335042,62
BENIGN,contralateral,19.115002234578128,0.11444501258569395,0.1498664272335404,62
BENIGN,contralateral,19.325002261996268,0.10882428159676663,0.1484249282322692,62
BENIGN,contralateral,19.5350022894144,0.10463390114020164,0.1494359403972368,62
BENIGN,contralateral,19.74500231683254,0.11139917791504791,0.1601394129089364,62
BENIGN,contralateral,19.955002344250673,0.11874473153329437,0.15886394865485384,62
BENIGN,contralateral,20.165002371668812,0.11035067076424221,0.1573849792924871,62
BENIGN,contralateral,20.375002399086952,0.121672608669918,0.16415963458579216,62
BENIGN,contralateral,20.585002426505085,0.11329597464948615,0.16266268375004614,62
BENIGN,contralateral,20.795002453923225,0.11195699166598208,0.1642946064709498,62
BENIGN,contralateral,21.005002481341357,0.10926380058309794,0.158585957676858,62
BENIGN,contralateral,21.215002508759497,0.11330504596804764,0.16325178205566546,62
BENIGN,contralateral,21.42500253617763,0.11167029829971717,0.16323902296631423,62
BENIGN,contralateral,21.63500256359577,0.11026719346454344,0.16443284870114414,62
