group,cases,median_target,median_contralateral,median_delta,median_delta_bootstrap_95_low,median_delta_bootstrap_95_high,median_ratio,mean_log_ratio,geometric_mean_ratio,geometric_mean_ratio_bootstrap_95_low,geometric_mean_ratio_bootstrap_95_high,target_more_variable_fraction,paired_t_log_ratio_p,paired_wilcoxon_p,exact_sign_test_p
ALL,115,0.02356647423359562,0.026571185685246305,-0.002733719982760778,-0.005636750197217755,0.0033949992374532386,0.857485051841069,-0.110675680397944,0.8952290421792993,0.729645047421094,1.0991117961416335,0.45217391304347826,0.2917007752086657,0.37333120360842553,0.3511253697554322
BENIGN,62,0.02036718848789022,0.02767320178826676,-0.004004519632028317,-0.011610621044190104,0.005402972798881137,0.8113461130875242,-0.2132890577528806,0.8079225671787293,0.6019752054731216,1.075738910759404,0.43548387096774194,0.16062947099565172,0.2292089626590571,0.37415171240479483
CANCER,53,0.029050634225681115,0.024447818271642042,-0.00077646730288463,-0.006056756710900707,0.007810771508163843,0.9383302380611063,0.009362610092736595,1.0094065764327207,0.7710035633779148,1.3397587945722715,0.4716981132075472,0.9480657713939008,0.975281760446043,0.7838463022094988
