profile_encoder,q_nm_inv,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10,mean_profile,component_11,component_12,component_13,component_14,component_15,component_16,component_17,component_18,component_19,component_20,component_21,component_22,component_23,component_24,component_25,component_26,component_27,component_28,component_29,component_30
fpca256_10,2.041015630355105,0.003915144328996604,0.01001306022959921,-0.1169739625327227,0.24886682004802704,-0.06340111445181602,0.2667001345507016,-0.08186657167723298,0.016836225158691702,0.03934225498548772,0.1071888910692462,1.7034896254361012,,,,,,,,,,,,,,,,,,,,
fpca256_10,2.1230468910653144,-0.0016635576865129953,0.015247500383771151,-0.10778900199320163,0.22633737401277088,-0.05195257563837696,0.3015942000541034,-0.12102416897872838,-0.12159029671290734,0.054966547416077836,0.059027701538883065,1.7085520479509568,,,,,,,,,,,,,,,,,,,,
fpca256_10,2.205078151775524,-0.006476003724013135,0.01872230533281935,-0.10581589971777561,0.21732041910494038,-0.04816038424993867,0.21431251814091254,-0.06608376257425089,-0.03934268577408538,0.025803889177373612,-0.07505880580863997,1.7218863807521547,,,,,,,,,,,,,,,,,,,,
fpca256_10,2.2871094124857336,-0.010674216590886465,0.021763565619753344,-0.10718154506626257,0.19805158056231087,-0.008487248825611419,0.18318747728214743,-0.1099642878535351,0.026451542533946257,-0.06477026859203273,-0.06053395688392059,1.7309970324091861,,,,,,,,,,,,,,,,,,,,
fpca256_10,2.3691406731959432,-0.013063708280292314,0.02580333717927602,-0.11136941374741793,0.17497247511171765,-0.0006287107475389242,0.13874595782333257,-0.05362454311167847,0.1065049408880612,-0.06895788240788225,-0.008111014005034752,1.740970729708029,,,,,,,,,,,,,,,,,,,,
fpca256_10,2.451171933906153,-0.018858645368401587,0.026210105875847493,-0.10393542685946883,0.16489619022752608,-0.0036262839662071777,0.1238611297136134,0.005935185250754926,0.08415918920614344,-0.13581960031133203,-0.05368421475116091,1.7335526019105605,,,,,,,,,,,,,,,,,,,,
fpca256_10,2.5332031946163625,-0.018292068642741865,0.030256168880148468,-0.11061412969352043,0.17028033279730642,-0.00043152991077466396,0.07538289450174299,0.06019058505357004,0.034667481388148,-0.19957451863390147,0.0044108268294766745,1.7311276140464966,,,,,,,,,,,,,,,,,,,,
fpca256_10,2.615234455326572,-0.017061895214202816,0.027826415664007297,-0.11173965519201211,0.15880760732237367,0.02241152296698551,0.061428898986506275,0.05686045298800755,0.09651261278970802,-0.15996228524127573,0.14740685685240607,1.7181511481573462,,,,,,,,,,,,,,,,,,,,
fpca256_10,2.6972657160367817,-0.017432127874471803,0.027339971282032343,-0.11633581930469328,0.14350802239538826,0.01735507585834108,0.06280348327048063,0.04748499364987613,0.1004212148073386,-0.07391575917431681,0.12736834353136683,1.713518874698216,,,,,,,,,,,,,,,,,,,,
fpca256_10,2.7792969767469913,-0.018818453059743213,0.028710107793756347,-0.11189910936072163,0.14805633920623731,0.012148264390636586,0.0666266863086532,0.01931813506955915,0.0402865139368328,-0.04502607178955815,0.06373580785666397,1.7008897179100904,,,,,,,,,,,,,,,,,,,,
fpca256_10,2.861328237457201,-0.018346273301084768,0.029043425487120356,-0.10531567588442532,0.13404282388983482,0.010481141976238765,0.02624715129663522,0.046178697073499086,-0.09467588234789401,-0.11492900043341714,0.05269664124029777,1.6809633504664463,,,,,,,,,,,,,,,,,,,,
fpca256_10,2.9433594981674105,-0.016467631602945107,0.02966823453825376,-0.1031085219865037,0.13106532924964948,0.0006934178163822246,-0.02204418274462034,0.09701245045203369,-0.10408239743929872,-0.031002378972246725,-0.07554609600712858,1.6641100221237908,,,,,,,,,,,,,,,,,,,,
fpca256_10,3.02539075887762,-0.017080235784968388,0.024860136676080998,-0.10246971714985338,0.1235042544717915,0.015747713202501113,-0.031038462194540106,0.054898744683513995,0.018976103279989442,0.030359239235827007,-0.08166334698563721,1.6332352986326364,,,,,,,,,,,,,,,,,,,,
fpca256_10,3.1074220195878297,-0.015968020207282135,0.025493461869074904,-0.10757257470149055,0.11819832329175847,0.012372917958726325,-0.0407107077417485,-0.0024485873569148747,0.03309525573420108,-0.0014216123085597776,-0.11301289326663572,1.6002392089461643,,,,,,,,,,,,,,,,,,,,
fpca256_10,3.1894532802980393,-0.015857348911025068,0.025747083299282277,-0.10804728482508086,0.12445866556870941,-0.011408490340890158,-0.004019557082251514,0.00302833571841884,-0.026888093578228855,0.025264084701255046,-0.03279892949607116,1.5748360007058426,,,,,,,,,,,,,,,,,,,,
fpca256_10,3.271484541008249,-0.012067323465205133,0.02927611547392545,-0.10329258672104574,0.10422708138653111,-0.00801645189531094,-0.029621000333276474,-0.02073648418481528,-0.06283146177508792,0.022558837600361953,-0.0950804264953381,1.5434675548842067,,,,,,,,,,,,,,,,,,,,
fpca256_10,3.3535158017184585,-0.011546472130956,0.026493211900481727,-0.09859859524660312,0.11474422783143166,0.004177020485595681,-0.056619527344642415,-0.033529546686824896,-0.06520113756067203,-0.02354697381253615,-0.10133636510045016,1.5089273438013886,,,,,,,,,,,,,,,,,,,,
fpca256_10,3.435547062428668,-0.00926596743762265,0.023201920548429077,-0.08906235164947997,0.10898463115408423,0.0044325427651839945,-0.09403367834452239,-0.026142564426742454,-0.0943602409539428,-0.034873905886842416,0.04155776415006038,1.4826510846899186,,,,,,,,,,,,,,,,,,,,
fpca256_10,3.5175783231388777,-0.006699179537607298,0.023321565431580562,-0.09224233975742738,0.10253410062410724,-0.019615873698180998,-0.0617737975691241,0.013678224095603724,-0.11107565498969584,0.024650193377159457,0.0046582759182357825,1.461702766047942,,,,,,,,,,,,,,,,,,,,
fpca256_10,3.5996095838490874,-0.0031012933953057068,0.02325732013354836,-0.08633157719024297,0.0961422055611738,-0.02740298886918316,-0.09419602680923221,0.03745572676198727,-0.10923092632607379,-0.01754467029859702,-0.04086343184592389,1.4350054756537534,,,,,,,,,,,,,,,,,,,,
fpca256_10,3.681640844559297,-0.0025618708200922428,0.022822789663473283,-0.08675009068999782,0.102928392674844,-0.022695378717294542,-0.1163689872277373,-0.009813672201723746,-0.12373993867559305,0.04854369045647794,-0.061616373198772806,1.4063054894135463,,,,,,,,,,,,,,,,,,,,
fpca256_10,3.7636721052695066,-0.0024804627543843407,0.02273466796805818,-0.08502087345900403,0.10039865429460666,-0.030296651314976275,-0.1085047207333039,-0.010612061452712793,-0.13014769717551652,0.08038918151849041,-0.03521351927901867,1.3857895686200832,,,,,,,,,,,,,,,,,,,,
