profile_encoder,scope,split_id,component,explained_variance_ratio,cumulative_explained_variance_ratio
fpca256_10,outer_fold,0,1,0.5962228543092989,0.5962228543092989
fpca256_10,outer_fold,0,2,0.2877403604939902,0.8839632148032891
fpca256_10,outer_fold,0,3,0.037655443193419534,0.9216186579967086
fpca256_10,outer_fold,0,4,0.02079599522465567,0.9424146532213643
fpca256_10,outer_fold,0,5,0.005193944995995749,0.9476085982173601
fpca256_10,outer_fold,0,6,0.001918991647146901,0.949527589864507
fpca256_10,outer_fold,0,7,0.0012721468353007728,0.9507997366998078
fpca256_10,outer_fold,0,8,0.0010039237798313847,0.9518036604796392
fpca256_10,outer_fold,0,9,0.0009731892997849463,0.9527768497794241
fpca256_10,outer_fold,0,10,0.0008869319354051319,0.9536637817148292
fpca256_10,outer_fold,1,1,0.6363370813266912,0.6363370813266912
fpca256_10,outer_fold,1,2,0.26367876252951183,0.900015843856203
fpca256_10,outer_fold,1,3,0.03353732175910825,0.9335531656153113
fpca256_10,outer_fold,1,4,0.016190985494279747,0.9497441511095911
fpca256_10,outer_fold,1,5,0.004295661902100834,0.9540398130116919
fpca256_10,outer_fold,1,6,0.0015879342409612204,0.9556277472526532
fpca256_10,outer_fold,1,7,0.0011498277939022894,0.9567775750465555
fpca256_10,outer_fold,1,8,0.000978846328878009,0.9577564213754335
fpca256_10,outer_fold,1,9,0.0008564912270993208,0.9586129126025328
fpca256_10,outer_fold,1,10,0.0008307918540198063,0.9594437044565526
fpca256_10,outer_fold,2,1,0.645937751028479,0.645937751028479
fpca256_10,outer_fold,2,2,0.24857013587229465,0.8945078869007737
fpca256_10,outer_fold,2,3,0.034397648959243673,0.9289055358600173
fpca256_10,outer_fold,2,4,0.017342118475756032,0.9462476543357734
fpca256_10,outer_fold,2,5,0.00412866093387592,0.9503763152696493
fpca256_10,outer_fold,2,6,0.0015945406928855115,0.9519708559625348
fpca256_10,outer_fold,2,7,0.0012486820731712645,0.9532195380357061
fpca256_10,outer_fold,2,8,0.0010348689819235494,0.9542544070176296
fpca256_10,outer_fold,2,9,0.0009261673593443343,0.955180574376974
