variant,npt,splitting,algorithm,implementation,q_step_nm_inv,retained_measurements,common_measurements,retained_patients,median_snr_db,profile_gate_pass_rate,target_cases,kfold_roc_auc_mean,kfold_roc_auc_std,kfold_pr_auc_mean,kfold_pr_auc_std,kfold_sensitivity_mean,kfold_sensitivity_std,kfold_specificity_mean,kfold_specificity_std,kfold_brier_mean,kfold_log_loss_mean,train_all_threshold,train_all_roc_auc,train_all_pr_auc,train_all_sensitivity,train_all_specificity,train_all_balanced_accuracy,train_all_tp,train_all_tn,train_all_fp,train_all_fn
npt100_bbox,100,bbox,csr,cython,0.21000002741813617,893,803,164,31.407088519202677,1.0,164,0.679141199186909,0.07591276290665785,0.6231821443502877,0.0880620318171527,0.8261904761904763,0.11056869238814732,0.39966483499300837,0.12033234259599797,0.24072476204075147,0.7042560292980192,0.3085578913448472,0.875531914893617,0.8319332884252685,0.9571428571428572,0.5638297872340425,0.7604863221884499,67,53,41,3
npt150_bbox,150,bbox,csr,cython,0.14000001827875863,886,803,164,29.836035973813214,1.0,164,0.6413720154237624,0.07688503331626462,0.5941804850616742,0.0849054873128248,0.7480476190476192,0.12100235759277628,0.46277702947207594,0.11510890415668068,0.2659633275850628,0.7782781421571211,0.2268351552673591,0.9202127659574468,0.9017774251268957,0.9857142857142858,0.574468085106383,0.7800911854103344,69,54,40,1
npt200_bbox,200,bbox,csr,cython,0.10500001370906809,883,803,164,28.746096505477382,1.0,164,0.6328791709453586,0.08313743623424742,0.5865714270541929,0.08523276379555503,0.6574578754578755,0.13552013637181315,0.532599437542162,0.1055061553971636,0.2753616655896305,0.8228387172201799,0.32206209846917044,0.9554711246200608,0.9447589174570461,0.9571428571428572,0.7127659574468085,0.8349544072948328,67,67,27,3
npt250_bbox,250,bbox,csr,cython,0.08400001096725518,877,803,163,27.98053532479557,1.0,164,0.6166069373572028,0.08036925841442409,0.5753180076143201,0.08264582342447212,0.6128241758241759,0.13338936848325278,0.5565769637998741,0.11737730192828515,0.285023966953472,0.8648712139385679,0.3326293504796006,0.9767477203647417,0.9735981620967932,0.9571428571428572,0.8085106382978723,0.8828267477203647,67,76,18,3
npt256_bbox,256,bbox,csr,cython,0.08203126071020961,876,803,163,27.899532207944077,1.0,164,0.636460126866761,0.07869494303813873,0.5908013780901491,0.08222031549014712,0.5846190476190476,0.13365481204639898,0.613944730364235,0.1164879535342428,0.27637072942013935,0.8408740518428626,0.4507895013053682,0.9800911854103344,0.9752822650273524,0.9571428571428572,0.9148936170212766,0.9360182370820669,67,86,8,3
npt512_bbox,512,bbox,csr,cython,0.041015630355104804,844,803,163,25.979753485212044,1.0,164,0.636439711449132,0.08649915557144033,0.6057251013757541,0.08988029755407234,0.4713626373626373,0.13319592384124734,0.7182314610054548,0.10015925872450655,0.2770127180170154,0.8267497949987507,0.502105215797845,1.0,0.9999999999999998,1.0,1.0,1.0,70,94,0,0
npt512_no,512,no,csr,cython,0.041015630355104804,805,803,161,24.566580103797065,1.0,164,0.6569152675006943,0.08042720832135848,0.6221967763325617,0.08570262319746604,0.43710989010989004,0.14836599844673262,0.7643827773533656,0.09467584265017247,0.2636269023734375,0.7843983275086543,0.6050364064817443,1.0,0.9999999999999998,1.0,1.0,1.0,70,94,0,0
npt512_full,512,full,csr,cython,0.041015630355104804,838,803,163,25.647320718236323,1.0,164,0.6420518629674092,0.08645984003336118,0.6142972834475522,0.09000453239071421,0.4654505494505494,0.13399292313276806,0.7330561206938914,0.0974248158067809,0.27323481215938855,0.8132699288494954,0.5295046023280948,1.0,0.9999999999999998,1.0,1.0,1.0,70,94,0,0
