kind,run_id,folds,roc_auc_mean,roc_auc_std
observed,0,5,0.6281481481481481,0.11263157219998943
patient_label_permutation,0,5,0.4048684594451816,0.07769089854914542
patient_label_permutation,1,5,0.48824897741935286,0.037795536048074986
patient_label_permutation,2,5,0.4426290084184821,0.05370432470235183
patient_label_permutation,3,5,0.5263565062495983,0.10268148103371218
patient_label_permutation,4,5,0.4589069516342244,0.047212360120834476
patient_label_permutation,5,5,0.45541855203619913,0.08755486569850625
patient_label_permutation,6,5,0.53768118878026,0.04239519292941578
patient_label_permutation,7,5,0.5323601469573337,0.07303887677105779
patient_label_permutation,8,5,0.44827841696825654,0.1173566361789435
patient_label_permutation,9,5,0.47292425303454716,0.062030132706308826
patient_label_permutation,10,5,0.585521549600497,0.05802782004457156
patient_label_permutation,11,5,0.32816231755860237,0.08590234254488265
patient_label_permutation,12,5,0.524983222455649,0.047305251719344486
patient_label_permutation,13,5,0.496155774050511,0.09663752329643834
patient_label_permutation,14,5,0.42366086785591434,0.10224248041864098
patient_label_permutation,15,5,0.4941434468524252,0.10114476748479916
patient_label_permutation,16,5,0.4910071835782063,0.06077853322682207
patient_label_permutation,17,5,0.569193300054544,0.05640129478387557
patient_label_permutation,18,5,0.6116168343180728,0.058153596583640894
patient_label_permutation,19,5,0.5172239422084622,0.05336552630752711
