lr1_logreg_c,lr2_logreg_c,model_name,evaluation_mode,splits,roc_auc_mean,roc_auc_std,pr_auc_mean,sensitivity_target_mean,sensitivity_target_std,specificity_target_mean,specificity_target_std,balanced_accuracy_target_mean,ppv_target_mean,npv_target_mean,true_positives_mean,true_negatives_mean,false_negatives_mean,false_positives_mean,training_config_path,model_joblib_path
1.0,1.0,M2Q,stratified_kfold,5,0.6213507625272331,0.07378245814813952,0.622624675421872,0.6933333333333332,0.09043106644167025,0.49411764705882355,0.07944336228201267,0.5937254901960785,0.5363064524055237,0.6577489177489177,10.4,8.8,4.6,9.0,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_configs/aramis_t100_peak_delta_stratified_5fold_c1_1_c2_1.yaml,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_training/aramis_t100_peak_delta_stratified_5fold_c1_1_c2_1.joblib
1.0,3.0,M0Q,stratified_kfold,5,0.5632244008714598,0.07355339236161969,0.5432348596185667,0.6933333333333332,0.06798692684790382,0.403921568627451,0.08625470162783591,0.5486274509803921,0.4966051492367282,0.6058441558441559,10.4,7.2,4.6,10.6,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_configs/aramis_t100_peak_delta_stratified_5fold_c1_1_c2_3.yaml,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_training/aramis_t100_peak_delta_stratified_5fold_c1_1_c2_3.joblib
1.0,3.0,M1Q,stratified_kfold,5,0.5728104575163399,0.07792555363963796,0.5763970000726187,0.6666666666666666,0.09428090415820635,0.49411764705882355,0.1000747296492717,0.5803921568627451,0.5284257906060976,0.6394117647058823,10.0,8.8,5.0,9.0,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_configs/aramis_t100_peak_delta_stratified_5fold_c1_1_c2_3.yaml,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_training/aramis_t100_peak_delta_stratified_5fold_c1_1_c2_3.joblib
1.0,3.0,M2Q,stratified_kfold,5,0.6213507625272331,0.07532797491821398,0.6174710122958819,0.6799999999999999,0.07774602526460399,0.49411764705882355,0.07944336228201267,0.5870588235294119,0.5322128851540617,0.6472727272727272,10.2,8.8,4.8,9.0,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_configs/aramis_t100_peak_delta_stratified_5fold_c1_1_c2_3.yaml,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_training/aramis_t100_peak_delta_stratified_5fold_c1_1_c2_3.joblib
3.0,0.1,M0Q,stratified_kfold,5,0.5618736383442265,0.06956355712396764,0.5373872591770447,0.72,0.049888765156985905,0.4261437908496732,0.11158300407810487,0.5730718954248365,0.5180676328502416,0.6344522144522144,10.8,7.6,4.2,10.2,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_configs/aramis_t100_peak_delta_stratified_5fold_c1_3_c2_0p1.yaml,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_training/aramis_t100_peak_delta_stratified_5fold_c1_3_c2_0p1.joblib
3.0,0.1,M1Q,stratified_kfold,5,0.5739433551198256,0.06024563550984112,0.5481779158340491,0.6533333333333332,0.07774602526460399,0.4385620915032679,0.09014870405002179,0.5459477124183006,0.49631062951496385,0.597997557997558,9.8,7.8,5.2,10.0,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_configs/aramis_t100_peak_delta_stratified_5fold_c1_3_c2_0p1.yaml,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_training/aramis_t100_peak_delta_stratified_5fold_c1_3_c2_0p1.joblib
3.0,0.1,M2Q,stratified_kfold,5,0.6210893246187364,0.058436295016687345,0.6066403844074937,0.6666666666666666,0.09428090415820635,0.46013071895424834,0.049362634218298604,0.5633986928104575,0.5083876357560568,0.6245421245421245,10.0,8.2,5.0,9.6,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_configs/aramis_t100_peak_delta_stratified_5fold_c1_3_c2_0p1.yaml,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_training/aramis_t100_peak_delta_stratified_5fold_c1_3_c2_0p1.joblib
3.0,0.3,M0Q,stratified_kfold,5,0.5572984749455338,0.07355953550616237,0.5337004249289146,0.7066666666666667,0.05333333333333336,0.4261437908496732,0.11158300407810487,0.5664052287581699,0.5133057280883369,0.6235431235431235,10.6,7.6,4.4,10.2,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_configs/aramis_t100_peak_delta_stratified_5fold_c1_3_c2_0p3.yaml,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_training/aramis_t100_peak_delta_stratified_5fold_c1_3_c2_0p3.joblib
3.0,0.3,M1Q,stratified_kfold,5,0.5752505446623093,0.06282094181585206,0.5613325563629346,0.6399999999999999,0.06798692684790378,0.47320261437908495,0.10931653425077391,0.5566013071895425,0.5094126620900076,0.6033613445378152,9.6,8.4,5.4,9.4,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_configs/aramis_t100_peak_delta_stratified_5fold_c1_3_c2_0p3.yaml,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_training/aramis_t100_peak_delta_stratified_5fold_c1_3_c2_0p3.joblib
3.0,0.3,M2Q,stratified_kfold,5,0.619520697167756,0.06037737922297087,0.6117732368037642,0.6666666666666666,0.11925695879998881,0.46078431372549017,0.05437028586427562,0.5637254901960784,0.5073355402767168,0.6293006993006993,10.0,8.2,5.0,9.6,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_configs/aramis_t100_peak_delta_stratified_5fold_c1_3_c2_0p3.yaml,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_training/aramis_t100_peak_delta_stratified_5fold_c1_3_c2_0p3.joblib
3.0,1.0,M0Q,stratified_kfold,5,0.5474509803921569,0.07888724931946996,0.533260439816182,0.7066666666666667,0.05333333333333336,0.38039215686274513,0.12552763602710376,0.5435294117647059,0.4949620427881298,0.5922222222222222,10.6,6.8,4.4,11.0,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_configs/aramis_t100_peak_delta_stratified_5fold_c1_3_c2_1.yaml,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_training/aramis_t100_peak_delta_stratified_5fold_c1_3_c2_1.joblib
3.0,1.0,M1Q,stratified_kfold,5,0.5669281045751634,0.07316621670076352,0.5732629098667281,0.6,0.04216370213557838,0.4954248366013072,0.09457044312515517,0.5477124183006536,0.5040773055633736,0.5910236822001529,9.0,8.8,6.0,9.0,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_configs/aramis_t100_peak_delta_stratified_5fold_c1_3_c2_1.yaml,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_training/aramis_t100_peak_delta_stratified_5fold_c1_3_c2_1.joblib
3.0,1.0,M2Q,stratified_kfold,5,0.6103703703703703,0.06733818179178379,0.6152885150550296,0.6666666666666666,0.11925695879998881,0.5281045751633987,0.055559400097655996,0.5973856209150327,0.5406015037593985,0.6603668390433096,10.0,9.4,5.0,8.4,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_configs/aramis_t100_peak_delta_stratified_5fold_c1_3_c2_1.yaml,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_training/aramis_t100_peak_delta_stratified_5fold_c1_3_c2_1.joblib
3.0,3.0,M0Q,stratified_kfold,5,0.5407407407407407,0.07933191546957208,0.5356442083041253,0.6933333333333334,0.06798692684790382,0.3921568627450981,0.11356385478482488,0.5427450980392157,0.493719806763285,0.5942424242424242,10.4,7.0,4.6,10.8,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_configs/aramis_t100_peak_delta_stratified_5fold_c1_3_c2_3.yaml,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_training/aramis_t100_peak_delta_stratified_5fold_c1_3_c2_3.joblib
3.0,3.0,M1Q,stratified_kfold,5,0.5615250544662309,0.08292175978350946,0.5685101740481826,0.6133333333333333,0.04988876515698587,0.5058823529411764,0.07944336228201267,0.5596078431372549,0.5135043491080643,0.605952380952381,9.2,9.0,5.8,8.8,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_configs/aramis_t100_peak_delta_stratified_5fold_c1_3_c2_3.yaml,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_training/aramis_t100_peak_delta_stratified_5fold_c1_3_c2_3.joblib
3.0,3.0,M2Q,stratified_kfold,5,0.6042265795206971,0.07610375738593728,0.6077990324253103,0.6533333333333333,0.09797958971132711,0.4947712418300654,0.09697901694636032,0.5740522875816993,0.5226363008971704,0.6301470588235294,9.8,8.8,5.2,9.0,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_configs/aramis_t100_peak_delta_stratified_5fold_c1_3_c2_3.yaml,/Users/sad/dev/Aramis/examples/outputs/t100_peak_delta_experiment_v0_1/regularization_training/aramis_t100_peak_delta_stratified_5fold_c1_3_c2_3.joblib
