feature_group,dropped_features,model_name,evaluation_mode,splits,roc_auc_mean,roc_auc_std,pr_auc_mean,sensitivity_target_mean,sensitivity_target_std,specificity_target_mean,specificity_target_std,balanced_accuracy_target_mean,ppv_target_mean,npv_target_mean,true_positives_mean,true_negatives_mean,false_negatives_mean,false_positives_mean
full,,M2Q,stratified_kfold,5,0.657429193899782,0.05348352696573259,0.6444717779061699,0.8400000000000001,0.09043106644167027,0.3712418300653595,0.03205947312008032,0.6056209150326797,0.5284542124542124,0.750974025974026,12.6,6.6,2.4,11.2
drop_peak_delta,sk_peak14_intensity_abs_delta;sk_mean_peak_value_abs_delta,M2Q,stratified_kfold,5,0.6559477124183006,0.05371957058776557,0.6370068626174258,0.8266666666666668,0.08000000000000003,0.4045751633986928,0.054268049031757054,0.6156209150326797,0.5389693639693639,0.7451659451659451,12.4,7.2,2.6,10.6
drop_sigma,sk_sigma_target1;sk_sigma_contralateral1;sk_sigma_target2;sk_sigma_contralateral2,M2Q,stratified_kfold,5,0.6705882352941177,0.05902346398260996,0.6541410523192469,0.8133333333333332,0.07774602526460403,0.4156862745098039,0.055590146862653386,0.6145098039215686,0.5395445134575569,0.7278787878787878,12.2,7.4,2.8,10.4
drop_rms,sk_meanrms1;sk_meanrms2,M2Q,stratified_kfold,5,0.6566013071895425,0.053727522150048175,0.6436377230721151,0.8266666666666668,0.08000000000000003,0.38235294117647056,0.04374692949197781,0.6045098039215686,0.5294976907150819,0.735974025974026,12.4,6.8,2.6,11.0
drop_weighted_rms,sk_weightedrms1;sk_weightedrms2,M2Q,stratified_kfold,5,0.6559041394335512,0.052680909865864226,0.6446875004096686,0.8266666666666668,0.08000000000000003,0.3830065359477124,0.07073936858770687,0.6048366013071896,0.5307471819645733,0.7372727272727273,12.4,6.8,2.6,11.0
drop_mahalanobis,sk_mahalanobis1;sk_mahalanobis2,M2Q,stratified_kfold,5,0.6596514161220044,0.0520317634535498,0.6470925005386573,0.8266666666666668,0.08000000000000003,0.38235294117647056,0.04374692949197781,0.6045098039215686,0.5294976907150819,0.735974025974026,12.4,6.8,2.6,11.0
drop_distance_tail,sk_wasserstein_distance_mu_tc;sk_cosine_distance_full_q2;sk_wasserstein_distance_full_q2,M2Q,stratified_kfold,5,0.6423965141612201,0.05104563540203441,0.6315964386614923,0.7733333333333332,0.10832051206181284,0.3712418300653595,0.04756445855858888,0.5722875816993463,0.5072380952380952,0.675,11.6,6.6,3.4,11.2
drop_all_sk_symmetry,sk_meanrms1;sk_weightedrms1;sk_sigma_target1;sk_sigma_contralateral1;sk_mahalanobis1;sk_meanrms2;sk_weightedrms2;sk_sigma_target2;sk_sigma_contralateral2;sk_mahalanobis2;sk_peak14_intensity_abs_delta;sk_mean_peak_value_abs_delta;sk_wasserstein_distance_mu_tc;sk_cosine_distance_full_q2;sk_wasserstein_distance_full_q2,M2Q,stratified_kfold,5,0.6635729847494554,0.06768672948047298,0.6401170102209031,0.8,0.07302967433402217,0.4045751633986928,0.041357626194918624,0.6022875816993464,0.5305194805194805,0.7105050505050504,12.0,7.2,3.0,10.6
