dataset,feature_route,roc_auc_mean,roc_auc_std,pr_auc_mean,sensitivity_target_mean,specificity_target_mean,sensitivity_youden_mean,specificity_youden_mean,mean_auc_curve
standard,profile_only,0.5154491188005269,0.05809717423978987,0.32455303117915113,0.9837851213282247,0.023910996410272514,0.5786583493967301,0.40614254298029995,0.5157623951089169
standard,thickness_only,0.5003120419631448,0.04032572295645598,0.3069836671231094,0.998076923076923,0.020831981354000197,0.6899662038638799,0.2944438535962882,0.5006383796485456
standard,profile_plus_thickness,0.5066530490066079,0.054480729942685,0.31914170681915127,0.9798870703537121,0.024757550261850163,0.5298232774638323,0.4560736387926972,0.5068865814589653
biopsy_only,profile_only,0.5799399952460169,0.0756321195273401,0.5217465186892674,0.956293944423235,0.06981962327155108,0.6217207311690419,0.4876441111357071,0.5801516759606661
biopsy_only,thickness_only,0.5893919592123469,0.05128735618068113,0.5036673321704617,0.982236215538847,0.06698229534339101,0.6928945483443733,0.43585800228789173,0.5898717628270211
biopsy_only,profile_plus_thickness,0.5751140350732759,0.07616914538347982,0.5180898612263486,0.95631225944155,0.06908797536919062,0.6842243627396072,0.40872150097328397,0.5756187675099165
