split_id,feature,full_roc_auc,lofo_roc_auc,lofo_delta_roc_auc,full_sensitivity,lofo_sensitivity,lofo_delta_sensitivity,full_specificity,lofo_specificity,lofo_delta_specificity,permutation_auc_drop
0,sk_meanrms1,0.6296296296296297,0.637037037037037,-0.007407407407407307,0.7333333333333333,0.7333333333333333,0.0,0.3888888888888889,0.3888888888888889,0.0,-0.017407407407407427
0,sk_weightedrms1,0.6296296296296297,0.6444444444444444,-0.014814814814814725,0.7333333333333333,0.7333333333333333,0.0,0.3888888888888889,0.3888888888888889,0.0,-0.012839506172839577
0,sk_sigma_target1,0.6296296296296297,0.6444444444444444,-0.014814814814814725,0.7333333333333333,0.7333333333333333,0.0,0.3888888888888889,0.4444444444444444,-0.055555555555555525,-0.017530864197530804
0,sk_sigma_contralateral1,0.6296296296296297,0.6296296296296297,0.0,0.7333333333333333,0.7333333333333333,0.0,0.3888888888888889,0.3888888888888889,0.0,-0.0013580246913579286
0,sk_mahalanobis1,0.6296296296296297,0.6296296296296297,0.0,0.7333333333333333,0.7333333333333333,0.0,0.3888888888888889,0.3888888888888889,0.0,0.0
0,sk_meanrms2,0.6296296296296297,0.6296296296296297,0.0,0.7333333333333333,0.7333333333333333,0.0,0.3888888888888889,0.3888888888888889,0.0,-0.004074074074074008
0,sk_weightedrms2,0.6296296296296297,0.625925925925926,0.0037037037037036535,0.7333333333333333,0.7333333333333333,0.0,0.3888888888888889,0.3888888888888889,0.0,0.005802469135802735
0,sk_sigma_target2,0.6296296296296297,0.6296296296296297,0.0,0.7333333333333333,0.7333333333333333,0.0,0.3888888888888889,0.3888888888888889,0.0,0.0
0,sk_sigma_contralateral2,0.6296296296296297,0.6296296296296297,0.0,0.7333333333333333,0.7333333333333333,0.0,0.3888888888888889,0.3888888888888889,0.0,-0.0009876543209875743
0,sk_mahalanobis2,0.6296296296296297,0.637037037037037,-0.007407407407407307,0.7333333333333333,0.7333333333333333,0.0,0.3888888888888889,0.3888888888888889,0.0,0.0
0,sk_peak14_intensity_abs_delta,0.6296296296296297,0.6296296296296297,0.0,0.7333333333333333,0.7333333333333333,0.0,0.3888888888888889,0.3888888888888889,0.0,-0.0033333333333332993
0,sk_mean_peak_value_abs_delta,0.6296296296296297,0.625925925925926,0.0037037037037036535,0.7333333333333333,0.7333333333333333,0.0,0.3888888888888889,0.3888888888888889,0.0,-0.013950617283950528
0,sk_wasserstein_distance_mu_tc,0.6296296296296297,0.625925925925926,0.0037037037037036535,0.7333333333333333,0.7333333333333333,0.0,0.3888888888888889,0.3888888888888889,0.0,-0.0024691358024691024
0,sk_cosine_distance_full_q2,0.6296296296296297,0.6333333333333333,-0.0037037037037036535,0.7333333333333333,0.7333333333333333,0.0,0.3888888888888889,0.3888888888888889,0.0,-0.002962962962963056
0,sk_wasserstein_distance_full_q2,0.6296296296296297,0.6370370370370371,-0.007407407407407418,0.7333333333333333,0.7333333333333333,0.0,0.3888888888888889,0.4444444444444444,-0.055555555555555525,-0.0034567901234567877
1,sk_meanrms1,0.7629629629629631,0.7629629629629631,0.0,0.8666666666666667,0.8666666666666667,0.0,0.4444444444444444,0.4444444444444444,0.0,1.1102230246251565e-16
