feature_set,model_name,mode,roc_auc_mean,roc_auc_std,pr_auc_mean,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,threshold_mean,n_rows,n_splits
profile_plus_sk,M0_profile_only,70/30 x50,0.5032333333333333,0.05901733267062783,0.5152635197292957,0.6833333333333332,0.10897247358851685,0.32880000000000004,0.12192850364045316,0.39020664495806423,49,50
profile_plus_sk,M1_sk_base,70/30 x50,0.5386666666666666,0.06101457020890812,0.5456058111217895,0.6225,0.10117709995624284,0.4367999999999999,0.1105158812117064,0.32101616460384946,49,50
profile_plus_sk,M2_sk_base_age,70/30 x50,0.5769333333333333,0.05581254339304024,0.5868226086920404,0.6691666666666666,0.0925750446334696,0.4376,0.10473891349446011,0.293472394335588,49,50
profile_plus_sk,M0_profile_only,stratified 5-fold,0.515704656862745,0.07878564767003572,0.5307609505017201,0.7166666666666667,0.09846036991827953,0.31176470588235294,0.12282713539894766,0.39049482255856593,32,5
profile_plus_sk,M1_sk_base,stratified 5-fold,0.530484068627451,0.057997137603952705,0.5406261556565222,0.6666666666666667,0.04794383287880841,0.3941176470588236,0.07803823036130353,0.3351655521305871,32,5
profile_plus_sk,M2_sk_base_age,stratified 5-fold,0.5762928921568627,0.05261465009394133,0.6003911215213016,0.6925,0.045215533220835116,0.4183823529411764,0.13021973710154636,0.31077608570853,32,5
profile_plus_sk,M0_profile_only,train-all,0.8398962148962149,0.0,0.7958304100257663,0.9615384615384616,0.0,0.42857142857142855,0.0,0.36829485142796203,162,1
profile_plus_sk,M1_sk_base,train-all,0.8846153846153846,0.0,0.8603632271463758,0.9615384615384616,0.0,0.6071428571428571,0.0,0.3117748509049514,162,1
profile_plus_sk,M2_sk_base_age,train-all,0.8936202686202686,0.0,0.8896080374575334,0.9615384615384616,0.0,0.5238095238095238,0.0,0.2408048649811284,162,1
