model_name,split_id,evaluation_mode,roc_auc,pr_auc,brier_score,log_loss,calibration_intercept,calibration_slope,sensitivity_target,specificity_target,balanced_accuracy_target,ppv_target,npv_target,tp_target,tn_target,fp_target,fn_target,train_patients,test_patients,train_target_cases,test_target_cases,train_cancer_target_cases,test_cancer_target_cases,threshold_youden,threshold_target,target_sensitivity,target_reached,selected_lr1_c,selected_lr2_c
aramina_target_breast_risk,0,stratified_kfold,0.56875,0.5779759116066682,0.277378464872537,0.787711482813166,-0.19519073288111757,0.20169007126864663,0.8125,0.3,0.55625,0.48148148148148145,0.6666666666666666,13,6,14,3,142,36,157,36,66,16,0.4232601510021862,0.29768921047112473,0.95,True,0.1,0.3
aramina_target_breast_risk,1,stratified_kfold,0.6521739130434783,0.5757835347804556,0.23562233157326332,0.6632625611685626,-0.3271305061012318,0.5304642984623451,0.9375,0.4782608695652174,0.7078804347826086,0.5555555555555556,0.9166666666666666,15,11,12,1,142,36,154,39,66,16,0.49819641037042645,0.3098301227525321,0.95,True,0.1,0.3
aramina_target_breast_risk,2,stratified_kfold,0.8363171355498722,0.7606042922219394,0.16424859493915434,0.4953167260115953,0.09381869017075378,1.3601775210486726,0.9411764705882353,0.43478260869565216,0.6879795396419437,0.5517241379310345,0.9090909090909091,16,10,13,1,142,36,153,40,65,17,0.5038515809793301,0.25852463766667727,0.95,True,0.1,0.3
aramina_target_breast_risk,3,stratified_kfold,0.7142857142857143,0.7438865691963648,0.23048354131591645,0.6522123584035546,-0.24600227749771342,0.5638209788216523,0.8235294117647058,0.38095238095238093,0.6022408963585434,0.5185185185185185,0.7272727272727273,14,8,13,3,143,35,155,38,65,17,0.44878948279701725,0.3257156179098874,0.95,True,0.1,0.3
aramina_target_breast_risk,4,stratified_kfold,0.625,0.5605211304699451,0.2650681417331379,0.7378531782957003,-0.3742730809210159,0.35131507952908086,0.9375,0.25,0.59375,0.45454545454545453,0.8571428571428571,15,6,18,1,143,35,153,40,66,16,0.3363121912265087,0.2219375813335426,0.95,True,0.1,0.3
aramina_target_breast_risk,5,stratified_kfold,0.6240409207161125,0.5286237047755309,0.2647120740106459,0.7365310492924453,-0.24991683250087635,0.31006280095019073,0.9411764705882353,0.30434782608695654,0.6227621483375959,0.5,0.875,16,7,16,1,142,36,153,40,65,17,0.47611041587978836,0.23951806762887887,0.95,True,0.1,0.3
aramina_target_breast_risk,6,stratified_kfold,0.6934523809523809,0.624547664395916,0.25629363103201774,0.7473423431757091,-0.3346351313233613,0.38640006649149083,0.9375,0.5238095238095238,0.7306547619047619,0.6,0.9166666666666666,15,11,10,1,142,36,156,37,66,16,0.461358975217623,0.2730324324508956,0.95,True,0.1,0.3
aramina_target_breast_risk,7,stratified_kfold,0.7394957983193278,0.7184180181143096,0.21103287665044002,0.6006142418380346,-0.2492275290026349,0.7691626983673618,0.8235294117647058,0.38095238095238093,0.6022408963585434,0.5185185185185185,0.7272727272727273,14,8,13,3,142,36,155,38,65,17,0.43999312663350243,0.3018219998923793,0.95,True,0.1,0.3
aramina_target_breast_risk,8,stratified_kfold,0.654891304347826,0.6478630756207406,0.2366980484107343,0.6957066384378805,-0.03697365898646544,0.4263955434487393,0.6875,0.34782608695652173,0.5176630434782609,0.4230769230769231,0.6153846153846154,11,8,15,5,143,35,154,39,66,16,0.523748000434835,0.24070628007059477,0.95,True,0.1,0.3
aramina_target_breast_risk,9,stratified_kfold,0.6005434782608696,0.5265151446198606,0.29901459608919867,0.880909987571709,-0.40864815727370046,0.18221700766106494,0.8125,0.30434782608695654,0.5584239130434783,0.4482758620689655,0.7,13,7,16,3,143,35,154,39,66,16,0.3466127108700688,0.29618368699185194,0.95,True,0.1,0.3
