model_name,split_id,evaluation_mode,roc_auc,pr_auc,brier_score,log_loss,calibration_intercept,calibration_slope,sensitivity_target,specificity_target,balanced_accuracy_target,ppv_target,npv_target,tp_target,tn_target,fp_target,fn_target,train_patients,test_patients,train_target_cases,test_target_cases,train_cancer_target_cases,test_cancer_target_cases,threshold_youden,threshold_target,target_sensitivity,target_reached,selected_lr1_c,selected_lr2_c
aramis_target_breast_risk,0,stratified_kfold,0.6370370370370371,0.6641613016613017,0.2506443210553452,0.7734766554054118,-0.1337793590617259,0.2954575914896182,0.7333333333333333,0.5,0.6166666666666667,0.55,0.6923076923076923,11,9,9,4,131,33,142,33,61,15,0.5594272371216364,0.36224141263912607,0.95,True,0.1,0.3
aramis_target_breast_risk,1,stratified_kfold,0.72,0.6462025339720439,0.22810292720044004,0.6564219267687718,-0.30656915168215665,0.5112788940846938,0.8666666666666667,0.45,0.6583333333333333,0.5416666666666666,0.8181818181818182,13,9,11,2,131,33,140,35,61,15,0.4372456925668532,0.2791754751063992,0.95,True,0.1,0.3
aramis_target_breast_risk,2,stratified_kfold,0.6793650793650794,0.6120336018778733,0.2364678964692614,0.6661126172024976,-0.23462206215619447,0.5123819215590257,0.8,0.3333333333333333,0.5666666666666667,0.46153846153846156,0.7,12,7,14,3,131,33,139,36,61,15,0.6192686391905927,0.27607387301125474,0.95,True,0.1,0.3
aramis_target_breast_risk,3,stratified_kfold,0.6611842105263158,0.6340978721033869,0.24436576769424154,0.7016589134818663,-0.19042512661955505,0.4477080386673928,0.9375,0.2631578947368421,0.600328947368421,0.5172413793103449,0.8333333333333334,15,5,14,1,131,33,140,35,60,16,0.5076518523755378,0.25215424769559547,0.95,True,0.1,0.3
aramis_target_breast_risk,4,stratified_kfold,0.6095238095238096,0.5071052753787645,0.2744870794528466,0.7725355532021614,-0.3010687755205313,0.27425975953861825,0.8,0.42857142857142855,0.6142857142857143,0.5,0.75,12,9,12,3,132,32,139,36,61,15,0.4812783271215978,0.31766744485720105,0.95,True,0.1,0.3
aramis_target_breast_risk,5,stratified_kfold,0.5575757575757576,0.49755888837269996,0.30514285221114484,0.8883296406620366,-0.3698101030255381,0.10077447080420884,0.8,0.2727272727272727,0.5363636363636364,0.42857142857142855,0.6666666666666666,12,6,16,3,131,33,138,37,61,15,0.45594303443710416,0.2849839703755079,0.95,True,0.1,0.3
aramis_target_breast_risk,6,stratified_kfold,0.7138157894736842,0.626491798051101,0.22596400613545964,0.6552218454845017,-0.26477546090104265,0.5899318200227543,1.0,0.2631578947368421,0.631578947368421,0.5333333333333333,1.0,16,5,14,0,131,33,140,35,60,16,0.49128848223892013,0.25451618675716714,0.95,True,0.1,0.3
aramis_target_breast_risk,7,stratified_kfold,0.7966666666666666,0.7697486289877593,0.19128998727027058,0.5574470394173126,0.04782095954593127,0.6925581123306683,0.8,0.6,0.7,0.6,0.8,12,12,8,3,131,33,140,35,61,15,0.5387316278533463,0.271476990459545,0.95,True,0.1,0.3
aramis_target_breast_risk,8,stratified_kfold,0.6466666666666666,0.5853261307470232,0.24563218425325709,0.690599048498681,-0.2734047415313732,0.4634775722242624,0.8666666666666667,0.25,0.5583333333333333,0.4642857142857143,0.7142857142857143,13,5,15,2,131,33,140,35,61,15,0.5822444100093376,0.2528618182441909,0.95,True,0.1,0.3
aramis_target_breast_risk,9,stratified_kfold,0.6666666666666666,0.6740326733495614,0.23542283955016094,0.6845338014055732,0.05275651785005905,0.46765576529543756,0.6,0.6111111111111112,0.6055555555555556,0.5625,0.6470588235294118,9,11,7,6,132,32,142,33,61,15,0.4939842687061965,0.3223811512923578,0.95,True,0.1,0.3
aramis_target_breast_risk,10,stratified_kfold,0.6666666666666666,0.6533280608280608,0.24220319736685633,0.6976057387140892,-0.3075421137402524,0.4448260314479542,0.8,0.2857142857142857,0.5428571428571429,0.4444444444444444,0.6666666666666666,12,6,15,3,131,33,139,36,61,15,0.5676551198221969,0.2771633291230625,0.95,True,0.1,0.3
aramis_target_breast_risk,11,stratified_kfold,0.6317460317460317,0.5748844354394638,0.2583919166541532,0.7460070710968495,-0.3166569637596706,0.3144181088529321,0.7333333333333333,0.3333333333333333,0.5333333333333333,0.44,0.6363636363636364,11,7,14,4,131,33,139,36,61,15,0.5622917815978955,0.3253046953948579,0.95,True,0.1,0.3
