group,cases,median_target,median_contralateral,median_delta,median_delta_bootstrap_95_low,median_delta_bootstrap_95_high,median_ratio,mean_log_ratio,geometric_mean_ratio,geometric_mean_ratio_bootstrap_95_low,geometric_mean_ratio_bootstrap_95_high,target_more_variable_fraction,paired_t_log_ratio_p,paired_wilcoxon_p,exact_sign_test_p
ALL,130,0.023727849523895617,0.027764953987086012,-0.0027442826073290666,-0.00583992222390507,0.0025580416293201095,0.8533741973251416,-0.09998273166696772,0.9048530432047442,0.7464818416115538,1.0953025240177194,0.45384615384615384,0.31387546161870666,0.3970036380116868,0.33468775873692813
BENIGN,70,0.02196442204704424,0.028683231939349595,-0.004004519632028317,-0.0076272400534342,0.003562028410034059,0.8113461130875242,-0.19962431754558135,0.8190383936407688,0.6166296249993758,1.0767176354362817,0.44285714285714284,0.16782600247283969,0.25016286519581477,0.40296307504607976
CANCER,60,0.03080536817597046,0.026921689146198892,-0.001755093642822704,-0.006056756710900707,0.006466211970270894,0.9267706337960429,0.016265785191414854,1.016398793256991,0.7859958436844571,1.3201903571006686,0.4666666666666667,0.9036886470092388,0.9471752654324596,0.6988834276200058
