label,role,q_nm_inv,median_profile_sd,mean_profile_sd,cases
BENIGN,contralateral,2.105000013709068,0.08071299435505738,0.09888210689050975,70
BENIGN,contralateral,2.3150000411272047,0.09236232174657658,0.10663713624563467,70
BENIGN,contralateral,2.5250000685453413,0.09801037371024546,0.11142256667250364,70
BENIGN,contralateral,2.7350000959634775,0.10663025455745305,0.1053225315884529,70
BENIGN,contralateral,2.9450001233816145,0.07527138612254919,0.08988714880403341,70
BENIGN,contralateral,3.1550001507997507,0.08560161932043515,0.09063594000083702,70
BENIGN,contralateral,3.3650001782178873,0.07580365930462282,0.08117794919285216,70
BENIGN,contralateral,3.575000205636024,0.07193952903658526,0.07549511330269806,70
BENIGN,contralateral,3.7850002330541606,0.060555785049594066,0.07225181572771726,70
BENIGN,contralateral,3.995000260472297,0.058191712028245204,0.06458186283413324,70
BENIGN,contralateral,4.205000287890433,0.060996396922138464,0.06809768445356079,70
BENIGN,contralateral,4.41500031530857,0.04913494329098356,0.057654130839848466,70
BENIGN,contralateral,4.625000342726707,0.04882940519645412,0.05986226806091588,70
BENIGN,contralateral,4.835000370144844,0.04707204756609049,0.049330594535417556,70
BENIGN,contralateral,5.04500039756298,0.040191241364383797,0.04749057021520705,70
BENIGN,contralateral,5.255000424981116,0.03961361771105548,0.04203975594861836,70
BENIGN,contralateral,5.465000452399253,0.037677417571739896,0.0425692269374564,70
BENIGN,contralateral,5.67500047981739,0.032752388496510854,0.03608736371877851,70
BENIGN,contralateral,5.885000507235526,0.030671413568693733,0.03526597861350752,70
BENIGN,contralateral,6.095000534653662,0.03276807731666551,0.03749638911122629,70
BENIGN,contralateral,6.3050005620717995,0.03167789357326446,0.03619474799537502,70
BENIGN,contralateral,6.515000589489936,0.02947627720519863,0.03406656699911848,70
BENIGN,contralateral,6.725000616908073,0.01959488193538199,0.02188089906485341,70
BENIGN,contralateral,6.935000644326209,0.019594881935382037,0.02188089906485341,70
BENIGN,contralateral,7.145000671744345,0.02993714362053436,0.02952152916552166,70
BENIGN,contralateral,7.355000699162482,0.03153948339954509,0.03414558972310018,70
BENIGN,contralateral,7.565000726580618,0.029011326752259568,0.032460999390223656,70
BENIGN,contralateral,7.775000753998755,0.03228480994562667,0.03336253648258914,70
BENIGN,contralateral,7.9850007814168915,0.03431251876693305,0.034058111677755215,70
BENIGN,contralateral,8.19500080883503,0.036856810054329954,0.04133943300460016,70
BENIGN,contralateral,8.405000836253166,0.034212698396434725,0.03743066082532665,70
BENIGN,contralateral,8.615000863671302,0.03986126210980405,0.044903480713173655,70
BENIGN,contralateral,8.825000891089438,0.0360827236400989,0.04159448176743303,70
BENIGN,contralateral,9.035000918507574,0.037509717112347546,0.04561399963848491,70
BENIGN,contralateral,9.24500094592571,0.03949645723033593,0.04354733461929002,70
BENIGN,contralateral,9.455000973343846,0.043143323497569115,0.04971159018738784,70
BENIGN,contralateral,9.665001000761984,0.045011712267262693,0.05133748730705522,70
BENIGN,contralateral,9.87500102818012,0.05341855587381361,0.055389750462821165,70
BENIGN,contralateral,10.085001055598259,0.058213000212858676,0.0641182600141697,70
BENIGN,contralateral,10.295001083016395,0.0527256108362886,0.06456730374659787,70
BENIGN,contralateral,10.50500111043453,0.06215512075282259,0.07178403579796176,70
BENIGN,contralateral,10.715001137852667,0.05997623282548549,0.07277395469819142,70
BENIGN,contralateral,10.925001165270803,0.06687763455017032,0.07911020906107229,70
BENIGN,contralateral,11.13500119268894,0.08511679223273172,0.09452506036759895,70
BENIGN,contralateral,11.345001220107077,0.0931512239504104,0.1033236977414656,70
