model_name,ablation,description_status,threshold_provenance,threshold_sample_count,threshold_cancer_cases,threshold_benign_cases,lr1_c,current_lr2_c,evaluation_status,target_cases,cancer_target_cases,benign_target_cases,decision_threshold,roc_auc,pr_auc,sensitivity,specificity,balanced_accuracy,ppv,npv,brier_score,log_loss,calibration_intercept,calibration_slope,true_positives,true_negatives,false_negatives,false_positives,threshold_youden,threshold_target,target_sensitivity,target_reached,profile_c,age_c,symmetry_c
current_product_exact_legacy,current_product_exact_legacy,training_cohort_current_product_exact_not_independent,training_cohort_fitted_lr1_fitted_lr2_scores,175,76,99,0.1,0.3,in_sample_not_independent,175,76,99,0.24665932038818544,0.8649654439128124,0.847242209640579,0.9605263157894737,0.494949494949495,0.7277379053694844,0.5934959349593496,0.9423076923076923,0.14978958591041794,0.4542173994514503,-0.28384293993834664,1.2943752044747374,73,49,3,50,0.4449675281828281,0.24665932038818544,0.95,True,,,
recalibrated_joint_additive,calibrated_profile,training_cohort_deployed_chain_not_independent,training_cohort_full_chain_lr1_oof_meta_oof_scores,175,76,99,0.1,,in_sample_not_independent,175,76,99,0.25476114172493236,0.8320042530568846,0.7839911106996393,1.0,0.13131313131313133,0.5656565656565656,0.4691358024691358,1.0,0.19094854716798085,0.5676293179788717,0.3198667505503287,3.09147227081982,76,13,0,86,0.4960818673948509,0.25476114172493236,0.95,True,0.001,0.1,0.1
recalibrated_joint_additive,profile_age,training_cohort_deployed_chain_not_independent,training_cohort_full_chain_lr1_oof_meta_oof_scores,175,76,99,0.1,,in_sample_not_independent,175,76,99,0.18021433694095443,0.8106060606060607,0.7632313253862256,1.0,0.1919191919191919,0.5959595959595959,0.48717948717948717,1.0,0.17925185468353658,0.535057630837397,0.05430880626923398,1.56550776858756,76,19,0,80,0.49987870623919267,0.18021433694095443,0.95,True,0.01,1.0,0.1
recalibrated_joint_additive,profile_symmetry,training_cohort_deployed_chain_not_independent,training_cohort_full_chain_lr1_oof_meta_oof_scores,175,76,99,0.1,,in_sample_not_independent,175,76,99,0.2523155459513692,0.8341307814992025,0.7877019312786198,1.0,0.13131313131313133,0.5656565656565656,0.4691358024691358,1.0,0.19071703006913193,0.5671790553576402,0.328134087444263,3.136923814787619,76,13,0,86,0.49621521688447906,0.2523155459513692,0.95,True,0.001,0.1,0.001
recalibrated_joint_additive,profile_age_symmetry,training_cohort_deployed_chain_not_independent,training_cohort_full_chain_lr1_oof_meta_oof_scores,175,76,99,0.1,,in_sample_not_independent,175,76,99,0.18563867930682829,0.8208399787347156,0.7762373825768418,1.0,0.20202020202020202,0.601010101010101,0.49032258064516127,1.0,0.17637687915500955,0.5287516709267018,0.062475984780065184,1.6661087826780754,76,20,0,79,0.5364597873154625,0.18563867930682829,0.95,True,0.001,0.3,0.001
