ablation,selection_step,candidate_c,profile_c,age_c,symmetry_c,roc_auc,pr_auc,sensitivity,specificity,balanced_accuracy,ppv,npv,brier_score,log_loss,calibration_intercept,calibration_slope,selected,selected_at_grid_boundary,outer_split_id,selection_scope
calibrated_profile,profile_c,0.001,0.001,0.1,0.1,0.5838899008297915,0.495534347809099,0.4262295081967213,0.7530864197530864,0.5896579639749039,0.5652173913043478,0.6354166666666666,0.2480341746811106,0.6966241698385209,-0.18480964569542838,0.3389623333402372,False,False,0,outer_train_nested_full_chain
calibrated_profile,profile_c,0.003,0.003,0.1,0.1,0.5838899008297915,0.495609423564767,0.4262295081967213,0.7530864197530864,0.5896579639749039,0.5652173913043478,0.6354166666666666,0.24772907138751757,0.6954994349445509,-0.18291447021915885,0.3463537440429476,False,False,0,outer_train_nested_full_chain
calibrated_profile,profile_c,0.01,0.01,0.1,0.1,0.5828779599271403,0.492070233201992,0.4098360655737705,0.7530864197530864,0.5814612426634285,0.5555555555555556,0.6288659793814433,0.2468008249472238,0.6921654693988347,-0.17648056192349454,0.3725587866002474,False,False,0,outer_train_nested_full_chain
calibrated_profile,profile_c,0.03,0.03,0.1,0.1,0.5842946771908522,0.4922750591000641,0.3442622950819672,0.7901234567901234,0.5671928759360453,0.5526315789473685,0.6153846153846154,0.24510772541091316,0.6863656949655983,-0.1606952625304409,0.43501479509556434,False,False,0,outer_train_nested_full_chain
calibrated_profile,profile_c,0.1,0.1,0.1,0.1,0.5780206435944141,0.4811359418700568,0.18032786885245902,0.8271604938271605,0.5037441813398098,0.44,0.5726495726495726,0.2441052966219438,0.6823181374198791,-0.13802048045559545,0.5274327660781282,True,False,0,outer_train_nested_full_chain
calibrated_profile,profile_c,0.3,0.3,0.1,0.1,0.5602104837077514,0.4702967163480688,0.11475409836065574,0.9135802469135802,0.514167172637118,0.5,0.578125,0.2461651656359333,0.6859602556644553,-0.21216183324259058,0.26172687828154706,False,False,0,outer_train_nested_full_chain
calibrated_profile,profile_c,1.0,1.0,0.1,0.1,0.5563651082776766,0.4670824525162962,0.03278688524590164,0.9629629629629629,0.4978749241044323,0.4,0.5693430656934306,0.2460955014837986,0.685661844003448,-0.24425982802351023,0.14326586389369106,False,False,0,outer_train_nested_full_chain
calibrated_profile,profile_c,3.0,3.0,0.1,0.1,0.5504958510422991,0.4642301776062811,0.01639344262295082,0.9753086419753086,0.49585104229912974,0.3333333333333333,0.5683453237410072,0.24616629147195487,0.6857661757745801,-0.2719341105106338,0.042880795646862216,False,False,0,outer_train_nested_full_chain
profile_age,profile_c,0.001,0.001,0.1,0.1,0.6674762193887878,0.6181631001374119,0.5245901639344263,0.7407407407407407,0.6326654523375834,0.6037735849056604,0.6741573033707865,0.22613165981943203,0.6493567314558633,-0.08156306170946845,0.6985033511416097,False,False,0,outer_train_nested_full_chain
profile_age,profile_c,0.003,0.003,0.1,0.1,0.6680833839303785,0.6205972431870064,0.5245901639344263,0.7407407407407407,0.6326654523375834,0.6037735849056604,0.6741573033707865,0.22571213004706475,0.6479923754091972,-0.07796267516386707,0.7136569454785646,False,False,0,outer_train_nested_full_chain
profile_age,profile_c,0.01,0.01,0.1,0.1,0.6711192066383324,0.6239273534913126,0.5245901639344263,0.7654320987654321,0.6450111313499292,0.6274509803921569,0.6813186813186813,0.2244146906672365,0.6438675856373859,-0.06598783296414659,0.7647316362530926,False,False,0,outer_train_nested_full_chain
profile_age,profile_c,0.03,0.03,0.1,0.1,0.6808338393037846,0.6269515703054965,0.5245901639344263,0.7530864197530864,0.6388382918437563,0.6153846153846154,0.6777777777777778,0.22189776532608865,0.6362313566438436,-0.03656045949364082,0.8919528659336025,False,False,0,outer_train_nested_full_chain
profile_age,profile_c,0.1,0.1,0.1,0.1,0.6881198138028739,0.615993442677461,0.5081967213114754,0.7654320987654321,0.6368144100384537,0.62,0.6739130434782609,0.21943938466461696,0.6289462155902387,0.022934191394994877,1.1422321865035021,True,False,0,outer_train_nested_full_chain
profile_age,profile_c,0.3,0.3,0.1,0.1,0.6899413074276461,0.6039745525678043,0.45901639344262296,0.7777777777777778,0.6183970856102003,0.6086956521739131,0.65625,0.22038697763858991,0.6303702778327853,0.05574395323596471,1.2711273259824665,False,False,0,outer_train_nested_full_chain
profile_age,profile_c,1.0,1.0,0.1,0.1,0.6877150374418134,0.5928806802738201,0.4262295081967213,0.7654320987654321,0.5958308034810766,0.5777777777777777,0.6391752577319587,0.220503778662821,0.6303092088081584,0.06530605086409504,1.296861224082768,False,False,0,outer_train_nested_full_chain
profile_age,profile_c,3.0,3.0,0.1,0.1,0.689738919247116,0.5917264351389492,0.4262295081967213,0.7530864197530864,0.5896579639749039,0.5652173913043478,0.6354166666666666,0.2204097485567253,0.6300154554458859,0.06938299787337461,1.3085527195640503,False,False,0,outer_train_nested_full_chain
profile_age,age_c,0.001,0.1,0.001,0.1,0.5879376644403966,0.4923801466197967,0.18032786885245902,0.8148148148148148,0.4975713418336369,0.4230769230769231,0.5689655172413793,0.24279213432153704,0.6796014857019659,-0.10916980343611878,0.6330287498922147,False,False,0,outer_train_nested_full_chain
profile_age,age_c,0.003,0.1,0.003,0.1,0.6041287188828172,0.5050028693333563,0.21311475409836064,0.8271604938271605,0.5201376239627605,0.48148148148148145,0.5826086956521739,0.240435123723556,0.6747181746065193,-0.0606565217189309,0.8124530607386934,False,False,0,outer_train_nested_full_chain
profile_age,age_c,0.01,0.1,0.01,0.1,0.6395466504756122,0.5448189937967394,0.29508196721311475,0.8148148148148148,0.5549483910139648,0.5454545454545454,0.6055045871559633,0.23430681522552949,0.661935396655421,0.038975902249734025,1.1930296238679614,False,False,0,outer_train_nested_full_chain
