model_name,ablation,outer_folds,roc_auc_fold_mean,roc_auc_fold_std,pr_auc_fold_mean,pr_auc_fold_std,brier_score_fold_mean,brier_score_fold_std,log_loss_fold_mean,log_loss_fold_std,sensitivity_fold_mean,sensitivity_fold_std,specificity_fold_mean,specificity_fold_std,balanced_accuracy_fold_mean,balanced_accuracy_fold_std,ppv_fold_mean,ppv_fold_std,npv_fold_mean,npv_fold_std,true_positives_fold_mean,true_positives_fold_std,true_negatives_fold_mean,true_negatives_fold_std,false_positives_fold_mean,false_positives_fold_std,false_negatives_fold_mean,false_negatives_fold_std
current_product_exact_legacy,current_product_exact_legacy,50,0.6467213523075364,0.06346826009469096,0.6084848838781505,0.08278192177087841,0.25336981604758074,0.03077658374687458,0.728297314723781,0.08536571815879666,0.8065000000000001,0.09922323316643135,0.386300903774588,0.13181128891947091,0.5964004518872941,0.061593913616499345,0.5067194546470705,0.05525256482688733,0.7285486751810281,0.11020490961825016,12.26,1.5596153371905521,7.62,2.53684843851579,12.18,2.8049242414011823,2.94,1.5153877391611694
current_architecture_oof_retrained,current_architecture_oof_retrained,50,0.6845035837700312,0.06330694118644412,0.6379250760473384,0.06909006272820159,0.22696373468007625,0.02056168316616801,0.6499992418723218,0.05824023762933749,0.9433333333333335,0.08135143241243856,0.19633333333333333,0.11069287353893122,0.5698333333333333,0.051577721759042384,0.4760317908506739,0.04132267048480675,0.8672536375661376,0.16270966355116526,14.34,1.305526713629407,3.86,2.116695537860842,15.94,2.5330613889126337,0.86,1.233045011343868
recalibrated_joint_additive,calibrated_profile,50,0.6015837985114301,0.0691398007209278,0.5492212264671599,0.08152455734907539,0.2428471066630692,0.011866967188109853,0.6795029424822949,0.027246099871044392,0.9538333333333335,0.0662163960897232,0.09769431153641679,0.09717714228496985,0.5257638224348751,0.04772336520293393,0.4494308475572788,0.03130623980534276,0.7180952380952381,0.30972293147372093,14.5,1.1,1.96,2.009577069932875,17.84,2.003596765818911,0.7,1.004987562112089
recalibrated_joint_additive,profile_age,50,0.6891806409964305,0.058552053317162935,0.6448373448127616,0.06680117946220163,0.22191729808106367,0.01660617210262425,0.6346416661238015,0.03825820947257496,0.9356666666666666,0.07532872404778052,0.2048392192602719,0.10249526521665558,0.5702529429634692,0.055342653610646456,0.47647750966072144,0.03926579378000589,0.8248492063492062,0.20711422428757129,14.22,1.1881077392223318,4.06,2.0140506448448607,15.74,2.1523010941780427,0.98,1.1574109036984228
recalibrated_joint_additive,profile_symmetry,50,0.5854783581428318,0.0685864019790069,0.5389800519787022,0.07686824255090405,0.24586535757315642,0.015366905408903809,0.6917234787645984,0.055853785504112616,0.9443333333333334,0.07683297179958326,0.10699491152122728,0.09477869936801048,0.5256641224272802,0.04614195080881969,0.4491866528277983,0.031654579441091374,0.7300485008818343,0.2739793937180021,14.36,1.292439553712281,2.14,1.9494614640972003,17.66,1.9860513588525348,0.84,1.1551623262554922
recalibrated_joint_additive,profile_age_symmetry,50,0.6775450450621503,0.06777589663967637,0.6354516591948597,0.07168678077617562,0.22559830368220243,0.020441336902135034,0.6469887802655611,0.05638785902734659,0.9264166666666668,0.08647257914763759,0.20715151515151514,0.09974629006957006,0.5667840909090909,0.05481048329534554,0.47434023586151774,0.038561725708053926,0.8198412698412699,0.19699455096934793,14.08,1.3541048703848606,4.1,1.9519221295943134,15.7,2.147091055358389,1.12,1.3212115651930996
