split_id,component,aligned_coefficient,basis_abs_cosine
0,1,0.24608370406231045,0.9996874307123937
0,2,-0.20196572738240887,0.9993910276053171
0,3,0.12663675116486905,0.9965438575533608
0,4,-0.1799381181860693,0.9961386719744587
0,5,0.06791395696517825,0.9922054743205384
0,6,-0.07573363001068217,0.955418499771316
0,7,0.2648028400098691,0.9055512967291097
0,8,-0.057937244017772394,0.9187239906317191
0,9,0.03801120836197522,0.7874525629288465
0,10,0.08042520512931783,0.002418463813269753
0,11,-0.09613971417350413,0.16593417530255494
0,12,-0.07668592585967968,0.7044288814298667
0,13,-0.01722102079485922,0.34653733444938084
0,14,0.2560186011510627,0.05692851182727685
0,15,0.22029004956344195,0.30238965555395747
0,16,-0.03589833514879763,0.5863894555080116
0,17,-0.03214889828372437,0.014679945753615677
0,18,0.018737207834787533,0.14705045583628018
0,19,0.03851328360777485,0.012647119030713048
0,20,-0.015005504206577482,0.2839765435603029
0,21,-0.11688353222016153,0.05317563704919789
0,22,0.07022230969497617,0.5103993140337264
0,23,-0.02462885086750291,0.33456264893897747
0,24,-0.09602375874683543,0.12266160547654506
0,25,-0.05138288409315034,0.303215664640922
0,26,-0.12040822844197507,0.4494912911435973
0,27,-0.0816186347566063,0.3327480278035887
0,28,-0.08187311378738373,0.4185390459481686
0,29,-0.11833740337495315,0.3557465192717837
0,30,-0.010838213157782797,0.3073048976244278
1,1,0.3328063019203113,0.9996843530683459
1,2,-0.17157835540196575,0.9997663368687417
1,3,0.09525764112933327,0.9940827814125472
1,4,-0.4187892782079835,0.9927257220773285
1,5,-0.02303783455247176,0.9954608080082888
1,6,-0.1242902731176862,0.9767230874525965
1,7,0.2074407864751171,0.9636218682441732
1,8,0.03705638270283414,0.9516580289953662
1,9,-0.01270538252812379,0.2276585382214797
1,10,-0.04147010297329794,0.13211714719123038
1,11,-0.14751072271581278,0.10236309592181901
1,12,-0.07157793337420038,0.7379224893354507
1,13,-0.08219538330397559,0.536390662992139
1,14,-0.1745454359284422,0.4537045962820906
1,15,-0.19976068225630686,0.5275444865336693
1,16,-0.09799727578007016,0.2800827463481826
1,17,-0.015290126630177758,0.22039624012214465
1,18,-0.10613260173166841,0.08593170251308802
1,19,0.19553479458058554,0.5229587280217831
1,20,-0.12684651358441743,0.465376477140214
1,21,0.17250642814144587,0.23713916837314153
1,22,0.06178046469588161,0.3392951892665194
1,23,0.14034373700790606,0.3060538027427161
1,24,0.014691340471556099,0.17631190634971744
1,25,0.19022523975428043,0.046013081202164706
1,26,0.013062136245655028,0.10719430257652368
1,27,0.29144680362378395,0.012695911316818593
1,28,0.00710303336304608,0.3388133087096974
1,29,-0.08074743087463704,0.533172862455776
1,30,0.15883064877329792,0.44162047094947243
2,1,0.17605307209812635,0.9995900181377002
2,2,-0.18872568899843106,0.9995330373965262
2,3,0.07296559245185745,0.9992191098719785
2,4,-0.24312219656227885,0.9986783029989366
2,5,-0.08148378447590979,0.9970642877148178
2,6,-0.2301466189575869,0.9870348479704958
2,7,0.16567838795084894,0.976528079807119
