component,explained_variance_ratio,cumulative_explained_variance_ratio,lr1_coefficient_per_sd_train_all,abs_lr1_coefficient_per_sd_train_all,cancer_minus_benign_score_sd_train_all,univariate_auc_train_all,univariate_auc_direction,fold_aligned_lr1_coefficient_mean,fold_aligned_lr1_coefficient_sd,fold_mean_abs_lr1_coefficient,fold_coefficient_direction_consistency,fold_basis_abs_cosine_mean,fold_basis_abs_cosine_min,one_sd_max_q_nm_inv,one_sd_max_delta,one_sd_min_q_nm_inv,one_sd_min_delta,one_sd_peak_to_peak,model_activity_rank
1,0.5891413483995578,0.5891413483995578,0.3007768323147828,0.3007768323147828,0.27654104145479586,0.586859597924773,CANCER_higher,0.3024887642799375,0.0848300949030852,0.3024887642799375,1.0,0.9985675515233255,0.9871192670018418,13.36132960836403,0.38540154068488663,20.908205593703315,-0.3411145460469649,0.7265160867318515,1
4,0.020184644176050672,0.9424925320637367,-0.23954284469188125,0.23954284469188125,-0.22427480999296953,0.576321335927367,CANCER_lower,-0.23587642427688457,0.08084600202454341,0.23587642427688457,1.0,0.9964603666478095,0.9861642092039292,2.041015630355105,0.15824355937892845,15.166017343988642,-0.05036865999513859,0.20861221937406704,2
6,0.001818069654396212,0.9493805198462817,-0.2002233716022076,0.2002233716022076,-0.1833821090913075,0.5443620298313878,CANCER_lower,-0.19132582648723986,0.08468126101876773,0.193636004065508,0.98,0.9773577455519049,0.8887187754375355,2.1230468910653144,0.05904361619726107,4.091797148110345,-0.028553822670392217,0.08759743886765328,3
7,0.001200340179987502,0.9505808600262692,0.1654219019180496,0.1654219019180496,0.15206310542714732,0.5420314526588846,CANCER_higher,0.1599907638912855,0.08151989213781695,0.16408321285749358,0.95,0.9532041871141161,0.8583289930075018,9.013672790722921,0.019283166535915296,2.1230468910653144,-0.01813867419738628,0.03742184073330158,4
2,0.29319732088691536,0.8823386692864732,-0.14800841589051986,0.14800841589051986,-0.1576258262219797,0.5404912451361867,CANCER_lower,-0.15273271411181594,0.06501973836724202,0.15273271411181594,1.0,0.9983763228417665,0.9876971623199624,14.099610954755917,0.30298936968140394,6.798828751547262,-0.0016528266135741134,0.3046421962949781,5
29,0.0005344998345758938,0.9656439084505919,-0.2618168254477116,0.2618168254477116,-0.25580662439316754,0.567363813229572,CANCER_lower,-0.06950511560935464,0.14669910822751425,0.13313694041883806,0.69,0.20954943902558754,0.0013664804231127026,14.509767258306965,0.025500305092439005,14.099610954755917,-0.0210435422885619,0.046543847381000904,6
28,0.0005498118883171709,0.965109408616016,-0.039306139747288346,0.039306139747288346,-0.03543604032549564,0.5033236057068742,CANCER_higher,0.022853879295383284,0.15983852916314759,0.13108839846771878,0.55,0.1916225105100728,0.002371290203613423,12.951173304812983,0.020112890405805554,15.49414238682948,-0.019912124951164806,0.04002501535697036,7
10,0.000837049506540393,0.9532495783284569,-0.25831154616677005,0.25831154616677005,-0.25059165260936506,0.5659046692607004,CANCER_lower,-0.12109319655574524,0.08644963845147716,0.12858660778506326,0.91,0.44166122706966654,0.002418463813269753,2.2871094124857336,0.029771409317968886,14.427735997596756,-0.023801636581750912,0.0535730458997198,8
24,0.0005835021909158856,0.9628658468948204,0.020941031746863976,0.020941031746863976,0.014615065132291393,0.5142063878080415,CANCER_higher,0.0196507196357922,0.14101920977640844,0.11909612581349707,0.56,0.27054895167064436,0.0013913789781182587,13.68945465120487,0.038870164482394755,14.427735997596756,-0.020748232506884207,0.05961839698927896,9
25,0.0005760971582625746,0.9634419440530829,0.05921608135172478,0.05921608135172478,0.05789226923983036,0.5076402399481192,CANCER_higher,0.029448147412499043,0.14188064087914512,0.11707690127502372,0.55,0.2470147101419144,0.005488113194144037,14.509767258306965,0.02037751220814805,13.60742339049466,-0.01670487199137984,0.03708238419952789,10
