model_name,split_id,evaluation_mode,roc_auc,pr_auc,brier_score,log_loss,calibration_intercept,calibration_slope,sensitivity_target,specificity_target,balanced_accuracy_target,ppv_target,npv_target,tp_target,tn_target,fp_target,fn_target,train_patients,test_patients,train_target_cases,test_target_cases,train_cancer_target_cases,test_cancer_target_cases,threshold_youden,threshold_target,target_sensitivity,target_reached,selected_lr1_c,selected_lr2_c
aramina_target_breast_risk,0,stratified_kfold,0.6407407407407407,0.6751999229177088,0.25130624075585234,0.7586759203132515,-0.14817349261719243,0.3214860007732166,0.7333333333333333,0.3888888888888889,0.5611111111111111,0.5,0.6363636363636364,11,7,11,4,131,33,142,33,61,15,0.5170614772596358,0.31875684740293947,0.95,True,0.1,0.3
aramina_target_breast_risk,1,stratified_kfold,0.7233333333333334,0.6618597482892812,0.22845368532663282,0.657982727912864,-0.30004818084291696,0.5114295036004233,0.8666666666666667,0.5,0.6833333333333333,0.5652173913043478,0.8333333333333334,13,10,10,2,131,33,140,35,61,15,0.4141938848236697,0.3054884930730074,0.95,True,0.1,0.3
aramina_target_breast_risk,2,stratified_kfold,0.6571428571428571,0.5878373871542751,0.2473030242676062,0.6941845745361157,-0.2568698702822292,0.42518649809434206,0.8666666666666667,0.23809523809523808,0.5523809523809524,0.4482758620689655,0.7142857142857143,13,5,16,2,131,33,139,36,61,15,0.6046164651508869,0.24632973701034613,0.95,True,0.1,0.3
aramina_target_breast_risk,3,stratified_kfold,0.6480263157894737,0.6430948118858071,0.260845828727254,0.7304223104873564,-0.21166755704660853,0.3820345309955918,0.9375,0.21052631578947367,0.5740131578947368,0.5,0.8,15,4,15,1,131,33,140,35,60,16,0.43162205805022325,0.24922374277576423,0.95,True,0.1,0.3
aramina_target_breast_risk,4,stratified_kfold,0.5968253968253969,0.4825991120353866,0.2815645350946242,0.7972199659505215,-0.2771078005165806,0.22659938423416912,0.6666666666666666,0.5238095238095238,0.5952380952380952,0.5,0.6875,10,11,10,5,132,32,139,36,61,15,0.36500747991769933,0.36500747991769933,0.95,True,0.1,0.3
aramina_target_breast_risk,5,stratified_kfold,0.593939393939394,0.49316931706637585,0.2886965471427205,0.8448598662963225,-0.35580281954092025,0.1642207783139294,0.8,0.3181818181818182,0.5590909090909091,0.4444444444444444,0.7,12,7,15,3,131,33,138,37,61,15,0.41488971618814746,0.29393859652867715,0.95,True,0.1,0.3
aramina_target_breast_risk,6,stratified_kfold,0.6578947368421053,0.5838872881611852,0.2435298751837788,0.6939525538714649,-0.2203339958386955,0.47080787331996965,1.0,0.2631578947368421,0.631578947368421,0.5333333333333333,1.0,16,5,14,0,131,33,140,35,60,16,0.5162958293088048,0.26414708324330316,0.95,True,0.1,0.3
aramina_target_breast_risk,7,stratified_kfold,0.7933333333333333,0.7745763152401768,0.18506291132764285,0.5480827200923304,0.04745229852325167,0.7159242552297093,0.8666666666666667,0.5,0.6833333333333333,0.5652173913043478,0.8333333333333334,13,10,10,2,131,33,140,35,61,15,0.5365667978869605,0.2511019607005629,0.95,True,0.1,0.3
aramina_target_breast_risk,8,stratified_kfold,0.6166666666666666,0.5869380002713336,0.26439943260123194,0.7369000734349798,-0.26079605138040596,0.3259999629856151,0.8666666666666667,0.2,0.5333333333333333,0.4482758620689655,0.6666666666666666,13,4,16,2,131,33,140,35,61,15,0.564690039409785,0.23472204809800984,0.95,True,0.1,0.3
aramina_target_breast_risk,9,stratified_kfold,0.6296296296296297,0.6509578145489969,0.2561366581980477,0.7357957925004314,-0.026446484306812176,0.3587580923838977,0.5333333333333333,0.6111111111111112,0.5722222222222222,0.5333333333333333,0.6111111111111112,8,11,7,7,132,32,142,33,61,15,0.5239274423311059,0.3530824867412838,0.95,True,0.1,0.3
aramina_target_breast_risk,10,stratified_kfold,0.6476190476190476,0.6218953578962068,0.24835286445696758,0.699868301597787,-0.34257098551810655,0.4522286158383992,0.8,0.14285714285714285,0.4714285714285714,0.4,0.5,12,3,18,3,131,33,139,36,61,15,0.4159192234034519,0.19058367390893782,0.95,True,0.1,0.3
aramina_target_breast_risk,11,stratified_kfold,0.6031746031746031,0.524006031611343,0.26738579746302943,0.7648017932324722,-0.3091363805839272,0.2563689169155662,0.7333333333333333,0.23809523809523808,0.48571428571428565,0.4074074074074074,0.5555555555555556,11,5,16,4,131,33,139,36,61,15,0.49441847931616356,0.30950875106434256,0.95,True,0.1,0.3
