profile_encoder,scope,split_id,component,explained_variance_ratio,cumulative_explained_variance_ratio
fpca256_10,outer_fold,0,1,0.6189882287905665,0.6189882287905665
fpca256_10,outer_fold,0,2,0.26503877989118413,0.8840270086817505
fpca256_10,outer_fold,0,3,0.03751375102809105,0.9215407597098416
fpca256_10,outer_fold,0,4,0.02042883124841802,0.9419695909582596
fpca256_10,outer_fold,0,5,0.005083341112988854,0.9470529320712484
fpca256_10,outer_fold,0,6,0.0017635449111095879,0.948816476982358
fpca256_10,outer_fold,0,7,0.0012276072573542427,0.9500440842397123
fpca256_10,outer_fold,0,8,0.001032425344199271,0.9510765095839115
fpca256_10,outer_fold,0,9,0.0009271021250910947,0.9520036117090026
fpca256_10,outer_fold,0,10,0.000901977908662532,0.9529055896176651
fpca256_10,outer_fold,1,1,0.5549969508467806,0.5549969508467806
fpca256_10,outer_fold,1,2,0.3261984162469466,0.8811953670937271
fpca256_10,outer_fold,1,3,0.04182326475824386,0.923018631851971
fpca256_10,outer_fold,1,4,0.01931394596519896,0.94233257781717
fpca256_10,outer_fold,1,5,0.005076902094457828,0.9474094799116278
fpca256_10,outer_fold,1,6,0.0017763631437596827,0.9491858430553876
fpca256_10,outer_fold,1,7,0.0012533916491340258,0.9504392347045216
fpca256_10,outer_fold,1,8,0.0009992771620687168,0.9514385118665903
fpca256_10,outer_fold,1,9,0.0009147814715239269,0.9523532933381142
fpca256_10,outer_fold,1,10,0.0009060277867343246,0.9532593211248486
fpca256_10,outer_fold,2,1,0.5967283166876726,0.5967283166876726
fpca256_10,outer_fold,2,2,0.28334012537256714,0.8800684420602397
fpca256_10,outer_fold,2,3,0.041925290875684085,0.9219937329359238
fpca256_10,outer_fold,2,4,0.02046510231292943,0.9424588352488532
fpca256_10,outer_fold,2,5,0.005323206160077678,0.9477820414089309
fpca256_10,outer_fold,2,6,0.0019191085908829872,0.9497011499998138
fpca256_10,outer_fold,2,7,0.0012551729955715067,0.9509563229953854
fpca256_10,outer_fold,2,8,0.001021500975972857,0.9519778239713582
fpca256_10,outer_fold,2,9,0.0009207061040965653,0.9528985300754548
fpca256_10,outer_fold,2,10,0.0009122726945520726,0.9538108027700068
fpca256_10,outer_fold,3,1,0.5801101493889835,0.5801101493889835
fpca256_10,outer_fold,3,2,0.3044554629977939,0.8845656123867774
fpca256_10,outer_fold,3,3,0.039524733315581866,0.9240903457023593
fpca256_10,outer_fold,3,4,0.020089935988491993,0.9441802816908512
fpca256_10,outer_fold,3,5,0.0051335815691110325,0.9493138632599623
fpca256_10,outer_fold,3,6,0.0018642464656643217,0.9511781097256266
fpca256_10,outer_fold,3,7,0.0012409925022090556,0.9524191022278357
fpca256_10,outer_fold,3,8,0.0009987040938078293,0.9534178063216435
fpca256_10,outer_fold,3,9,0.0009468061005222863,0.9543646124221659
fpca256_10,outer_fold,3,10,0.0008821360519682955,0.9552467484741342
