profile_encoder,q_nm_inv,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10,mean_profile,component_11,component_12,component_13,component_14,component_15,component_16,component_17,component_18,component_19,component_20,component_21,component_22,component_23,component_24,component_25,component_26,component_27,component_28,component_29,component_30
fpca256_10,2.041015630355105,-0.011336730109677586,0.015118140869756014,-0.0915361313688048,0.2600890154858263,-0.08497206243968598,0.29371722525295296,-0.029925087304096782,0.009792410760058382,0.0758565968116688,0.04921865971020022,1.7148153503220893,,,,,,,,,,,,,,,,,,,,
fpca256_10,2.1230468910653144,-0.004195259492534076,0.02027554426572853,-0.08246715563771484,0.2379004229936434,-0.08117926688816762,0.3233509983783064,-0.12225310127206518,-0.0230365738466917,0.24483375476140107,-0.04208369839374381,1.7196997885298204,,,,,,,,,,,,,,,,,,,,
fpca256_10,2.205078151775524,0.0030045122922224277,0.021875858140865012,-0.08370896599044392,0.22893651083521116,-0.068536838404125,0.21602436444830755,-0.09624537544777574,0.032872171589202304,0.17467066720106506,0.10265630955994189,1.7329097992848972,,,,,,,,,,,,,,,,,,,,
fpca256_10,2.2871094124857336,0.008791768416910872,0.023354100128773148,-0.08987397735153817,0.2113898806173518,-0.025509351254883513,0.1871791079358433,-0.08887714121528467,-0.06348085289728345,0.014252938678484336,0.24028703477228308,1.743914539454719,,,,,,,,,,,,,,,,,,,,
fpca256_10,2.3691406731959432,0.01200850617510225,0.027568926428841095,-0.09671476567068882,0.1907879859330534,-0.011193659904306902,0.14178127623172213,-0.006471745066952781,-0.019249559399094236,-0.0992424541417359,0.14781743927304108,1.75353748121328,,,,,,,,,,,,,,,,,,,,
fpca256_10,2.451171933906153,0.017956096112780543,0.02565083368396109,-0.09062616770120002,0.17729433861173388,-0.012443675772639051,0.08536247741382097,0.031175874041583673,-0.08151321212744371,-0.07323995005807982,-0.07281936428439281,1.7495550176636243,,,,,,,,,,,,,,,,,,,,
fpca256_10,2.5332031946163625,0.01673528463009038,0.029762596130218935,-0.09349789090921719,0.17690755048767098,-0.007103323814704909,0.0339802476236834,0.05076808649902216,-0.16220362806672586,-0.14709948023216846,-0.11481700311753795,1.7485164857114845,,,,,,,,,,,,,,,,,,,,
fpca256_10,2.615234455326572,0.015961572360570286,0.028387374238042183,-0.09840816889037764,0.17133328194531203,0.004367237830995435,0.04238564258004274,0.05828529298413822,-0.116349760302387,-0.21530647025465915,-0.01414473758021502,1.7333378044045102,,,,,,,,,,,,,,,,,,,,
fpca256_10,2.6972657160367817,0.016574267311914952,0.028808176956241365,-0.10410312404346668,0.15752710136398362,0.006696329401278959,0.05923489611483329,0.06353977741942182,-0.0008158872533784514,-0.15289747385617436,0.006693122022879361,1.7273610439618152,,,,,,,,,,,,,,,,,,,,
fpca256_10,2.7792969767469913,0.017986420715006245,0.03029832798816994,-0.09728004374452974,0.16119964917517565,-0.005818500185965522,0.052395645073044256,0.04760979858179237,-0.03465128315066962,-0.04682851316238962,0.001395111889231554,1.7149643526504186,,,,,,,,,,,,,,,,,,,,
fpca256_10,2.861328237457201,0.017756645484158357,0.029136005641724694,-0.09672109854353017,0.1478228298870635,0.00280233274681398,-0.002248106472467702,-0.01099169098837871,-0.08920678363659723,-0.10030853832937439,0.024443258136416447,1.6955322370758679,,,,,,,,,,,,,,,,,,,,
fpca256_10,2.9433594981674105,0.016360385491453723,0.03110378334129736,-0.0913152455144486,0.14064307550447935,-0.009348458855284477,-0.03491255426803084,0.059126122605245524,-0.064526669084247,-0.05719486966206472,0.06277221302455535,1.6756352255317564,,,,,,,,,,,,,,,,,,,,
fpca256_10,3.02539075887762,0.01593355478519348,0.02635745541219176,-0.0903818300031092,0.13390015342634554,0.01757545640525782,-0.02524520111593588,0.09466536473222847,-0.005153214159295705,0.04653120004055805,0.03991059479593426,1.645815806154641,,,,,,,,,,,,,,,,,,,,
fpca256_10,3.1074220195878297,0.015484998181539806,0.027699514180831747,-0.09271240307259662,0.12665095414186286,0.019067724551940734,-0.03629017249665377,0.008988055542434634,0.03127723268397162,0.06028599681957425,0.03197643612040928,1.6116670112696094,,,,,,,,,,,,,,,,,,,,
fpca256_10,3.1894532802980393,0.013320707537096665,0.0291289464418148,-0.09171377864271107,0.13062107395389252,-0.01253973357990525,-0.006929018807224232,-0.001412443001266677,0.023239660988173427,0.09522695995682767,-0.0008457701111590221,1.5889068369742643,,,,,,,,,,,,,,,,,,,,
fpca256_10,3.271484541008249,0.011528970110994316,0.03072103849256069,-0.09504519824686379,0.11801514402675797,-0.012008753011004522,-0.06500387175005572,-0.024982587217942998,-0.009836080072951559,-0.019724937123339448,-0.00866772862847523,1.5548902469068369,,,,,,,,,,,,,,,,,,,,
